utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T07:35:50.370Z,74145,7426827,-84475,-92359,0,0,2,1,1,8,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-84400
2026-09-21T07:35:50.466Z,74146,7426967,-85601,-99117,0,0,2,1,2,8,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-85600
2026-09-21T07:35:50.560Z,74147,7427062,-86728,-79970,0,0,2,2,3,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-86700
2026-09-21T07:35:50.657Z,74148,7427157,-85601,-75464,0,0,2,2,4,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-85600
2026-09-21T07:35:50.751Z,74149,7427252,-84475,-79970,0,0,2,2,5,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-84400
2026-09-21T07:35:50.846Z,74150,7427348,-83349,-65327,0,0,2,2,6,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-83300
2026-09-21T07:35:50.941Z,74151,7427442,-83349,-103623,0,0,2,2,7,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-83300
2026-09-21T07:35:51.037Z,74152,7427538,-83349,-86728,0,0,2,2,8,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-83300
2026-09-21T07:35:51.113Z,74153,7427633,-83349,-79970,0,0,2,2,9,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-83300
2026-09-21T07:35:51.207Z,74154,7427728,-83349,-86728,0,0,2,2,10,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-83300
2026-09-21T07:35:51.299Z,74155,7427828,-83349,-87854,0,0,2,2,11,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-83300
