utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T07:35:55.851Z,74200,7432336,-92359,-88980,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-92300
2026-09-21T07:35:55.928Z,74201,7432448,-92359,-111507,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-92300
2026-09-21T07:35:56.019Z,74202,7432536,-94612,-110381,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-94600
2026-09-21T07:35:56.112Z,74203,7432636,-96865,-99117,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-96800
2026-09-21T07:35:56.204Z,74204,7432736,-97991,-107002,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-97900
2026-09-21T07:35:56.296Z,74205,7432836,-99117,-107002,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-99100
2026-09-21T07:35:56.486Z,74206,7432988,-100244,-96865,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-100200
2026-09-21T07:35:56.580Z,74207,7433082,-100244,-84475,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-100200
2026-09-21T07:35:56.676Z,74208,7433177,-97991,-77717,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-97900
2026-09-21T07:35:56.771Z,74209,7433272,-95738,-88980,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-95700
2026-09-21T07:35:56.850Z,74210,7433368,-93486,-74338,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-93400
2026-09-21T07:35:56.927Z,74211,7433447,-92359,-90107,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-92300
2026-09-21T07:35:57.004Z,74212,7433538,-91233,-83349,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-91200
2026-09-21T07:35:57.096Z,74213,7433638,-90107,-75464,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-90100
2026-09-21T07:35:57.286Z,74214,7433788,-88980,-95738,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-88900
2026-09-21T07:35:57.366Z,74215,7433883,-88980,-92359,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-88900
2026-09-21T07:35:57.446Z,74216,7433962,-90107,-95738,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-90100
2026-09-21T07:35:57.521Z,74217,7434043,-90107,-92359,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-90100
2026-09-21T07:35:57.597Z,74218,7434139,-90107,-85601,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-90100
2026-09-21T07:35:57.771Z,74219,7434289,-90107,-99117,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-90100
2026-09-21T07:35:57.850Z,74220,7434368,-91233,-97991,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-91200
2026-09-21T07:35:57.927Z,74221,7434447,-92359,-91233,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-92300
2026-09-21T07:35:58.003Z,74222,7434539,-92359,-87854,1000000,-1000000,0,0,0,1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,-92300
