utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T06:24:36.955Z,31472,3153093,122770,119391,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,122700
2026-09-21T06:24:37.050Z,31473,3153212,122770,114886,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,122700
2026-09-21T06:24:37.147Z,31474,3153309,121644,104749,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:24:37.223Z,31475,3153406,119391,94612,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,119300
2026-09-21T06:24:37.301Z,31476,3153494,117139,108128,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,117100
2026-09-21T06:24:37.393Z,31477,3153594,116012,126149,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,116000
2026-09-21T06:24:37.488Z,31478,3153694,117139,121644,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,117100
2026-09-21T06:24:37.662Z,31479,3153842,118265,103623,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,118200
2026-09-21T06:24:37.742Z,31480,3153922,117139,109254,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,117100
2026-09-21T06:24:37.818Z,31481,3154001,116012,119391,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,116000
2026-09-21T06:24:37.909Z,31482,3154095,116012,118265,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,116000
2026-09-21T06:24:38.001Z,31483,3154195,116012,140792,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,116000
2026-09-21T06:24:38.093Z,31484,3154295,118265,132907,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,118200
2026-09-21T06:24:38.284Z,31485,3154448,120518,114886,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,120500
2026-09-21T06:24:38.378Z,31486,3154543,121644,128402,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:24:38.474Z,31487,3154638,121644,125023,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:24:38.554Z,31488,3154732,121644,125023,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:24:38.631Z,31489,3154814,121644,116012,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,121600
2026-09-21T06:24:38.706Z,31490,3154896,120518,113760,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,120500
2026-09-21T06:24:38.799Z,31491,3154996,119391,109254,100000000,400000000,2,2,255,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,119300
2026-09-21T06:24:38.902Z,31492,3155100,-1126,-6758,100000000,400000000,2,1,0,11,2,1,1,15,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,-1100
2026-09-21T06:24:38.994Z,31493,3155197,-2253,15769,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,-2200
2026-09-21T06:24:39.185Z,31494,3155348,-1126,7884,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,-1100
2026-09-21T06:24:39.279Z,31495,3155444,1126,21400,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1100
