utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T10:40:07.579Z,109343,10951678,-6758,7884,100000000,400000000,2,2,203,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:40:07.771Z,109344,10951828,-5632,-1127,100000000,400000000,2,2,204,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:40:07.851Z,109345,10951923,-4506,-13516,100000000,400000000,2,2,205,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100002700
2026-09-21T10:40:07.930Z,109346,10952003,-5632,-30411,100000000,400000000,2,2,206,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:40:08.026Z,109347,10952083,-6758,-12390,100000000,400000000,2,2,207,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:40:08.118Z,109348,10952179,-7885,-3379,100000000,400000000,2,2,208,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99999300
2026-09-21T10:40:08.209Z,109349,10952279,-9011,-14643,100000000,400000000,2,2,209,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99998100
2026-09-21T10:40:08.301Z,109350,10952379,-7885,-3379,100000000,400000000,2,2,210,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99999300
2026-09-21T10:40:08.380Z,109351,10952479,-6758,-2253,100000000,400000000,2,2,211,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:40:08.540Z,109352,10952612,-6758,-9011,100000000,400000000,2,2,212,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:40:08.636Z,109353,10952693,-6758,-5632,100000000,400000000,2,2,213,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:40:08.730Z,109354,10952788,-6758,2252,100000000,400000000,2,2,214,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:40:08.822Z,109355,10952883,-5632,1126,100000000,400000000,2,2,215,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:40:08.914Z,109356,10952980,-4506,11263,100000000,400000000,2,2,216,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100002700
2026-09-21T10:40:09.007Z,109357,10953080,-3379,-12390,100000000,400000000,2,2,217,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
2026-09-21T10:40:09.098Z,109358,10953180,-4506,-19148,100000000,400000000,2,2,218,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100002700
2026-09-21T10:40:09.260Z,109359,10953331,-5632,2252,100000000,400000000,2,2,219,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:40:09.355Z,109360,10953412,-4506,10137,100000000,400000000,2,2,220,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100002700
2026-09-21T10:40:09.451Z,109361,10953508,-3379,2252,100000000,400000000,2,2,221,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
2026-09-21T10:40:09.545Z,109362,10953603,-1127,14642,100000000,400000000,2,2,222,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100006000
2026-09-21T10:40:09.641Z,109363,10953698,0,3379,100000000,400000000,2,2,223,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100007200
2026-09-21T10:40:09.736Z,109364,10953793,1126,9010,100000000,400000000,2,2,224,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100008300
2026-09-21T10:40:09.831Z,109365,10953888,1126,-23653,100000000,400000000,2,2,225,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100008300
