utc,sample_sequence,timestamp_ms,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,static_immediate,static_class,static_stable_count,static_reason,dynamic_immediate,dynamic_candidate,dynamic_confirmed,dynamic_confirm_count,dynamic_reason,process_active,valid,event_count,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,official_stable,official_overload,fault,overrun,dirty,save_count,revision,saved_revision,r5_input_ug
2026-09-21T10:39:42.647Z,109094,10926739,99999324,100018472,100000000,400000000,2,2,105,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,99999300
2026-09-21T10:39:42.807Z,109095,10926878,100001577,100016219,100000000,400000000,3,3,106,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:39:42.904Z,109096,10926957,100003830,100000451,100000000,400000000,3,3,107,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:43.000Z,109097,10927053,100003830,99990314,100000000,400000000,3,3,108,0,2,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:43.096Z,109098,10927149,100002703,99994819,100000000,400000000,3,3,109,0,2,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:43.191Z,109099,10927247,100001577,99994819,100000000,400000000,3,3,110,0,2,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:39:43.283Z,109100,10927342,100000451,100007209,100000000,400000000,3,3,111,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:39:43.376Z,109101,10927440,100000451,99998198,100000000,400000000,3,3,112,0,2,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:39:43.468Z,109102,10927540,100001577,100009461,100000000,400000000,3,3,113,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:39:43.559Z,109103,10927640,100002703,100009461,100000000,400000000,3,3,114,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:43.651Z,109104,10927740,100003830,99993693,100000000,400000000,3,3,115,0,2,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:43.744Z,109105,10927840,100002703,99992566,100000000,400000000,3,3,116,0,2,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:43.937Z,109106,10927990,100001577,99990314,100000000,400000000,3,3,117,0,2,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:39:44.033Z,109107,10928088,100000451,100010588,100000000,400000000,3,3,118,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:39:44.128Z,109108,10928183,100000451,100003830,100000000,400000000,3,3,119,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100000400
2026-09-21T10:39:44.223Z,109109,10928279,100001577,100017346,100000000,400000000,3,3,120,0,3,2,2,15,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100001500
2026-09-21T10:39:44.303Z,109110,10928374,100003830,100031988,100000000,400000000,3,3,121,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:44.380Z,109111,10928454,100007209,100030862,100000000,400000000,3,3,122,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100007200
2026-09-21T10:39:44.456Z,109112,10928542,100010588,100015093,100000000,400000000,3,3,123,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100010500
2026-09-21T10:39:44.548Z,109113,10928642,100011714,99999324,100000000,400000000,3,3,124,0,2,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100011700
2026-09-21T10:39:44.740Z,109114,10928795,100011714,100008335,100000000,400000000,3,3,125,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100011700
2026-09-21T10:39:44.820Z,109115,10928890,100010588,100000451,100000000,400000000,3,3,126,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100010500
2026-09-21T10:39:44.901Z,109116,10928970,100009461,100003830,100000000,400000000,3,3,127,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100009400
2026-09-21T10:39:44.998Z,109117,10929050,100008335,100004956,100000000,400000000,3,3,128,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100008300
2026-09-21T10:39:45.093Z,109118,10929148,100007209,100001577,100000000,400000000,3,3,129,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100007200
2026-09-21T10:39:45.184Z,109119,10929244,100007209,100016219,100000000,400000000,3,3,130,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100007200
2026-09-21T10:39:45.276Z,109120,10929343,100008335,100012840,100000000,400000000,3,3,131,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100008300
2026-09-21T10:39:45.368Z,109121,10929443,100009461,100003830,100000000,400000000,3,3,132,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100009400
2026-09-21T10:39:45.460Z,109122,10929543,100008335,99997072,100000000,400000000,3,3,133,0,2,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100008300
2026-09-21T10:39:45.553Z,109123,10929643,100007209,100009461,100000000,400000000,3,3,134,0,3,3,3,15,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100007200
2026-09-21T10:39:45.655Z,109124,10929744,0,7884,100000000,400000000,2,1,0,11,2,1,1,15,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100007200
2026-09-21T10:39:45.748Z,109125,10929843,1126,4505,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100008300
2026-09-21T10:39:45.940Z,109126,10929994,2252,5631,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100009400
2026-09-21T10:39:46.036Z,109127,10930090,2252,1126,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100009400
2026-09-21T10:39:46.117Z,109128,10930186,2252,-10137,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100009400
2026-09-21T10:39:46.197Z,109129,10930268,1126,-4506,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100008300
2026-09-21T10:39:46.289Z,109130,10930347,0,-20274,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100007200
2026-09-21T10:39:46.381Z,109131,10930444,-2253,-16895,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100004900
2026-09-21T10:39:46.472Z,109132,10930545,-4506,-5632,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:46.563Z,109133,10930645,-4506,-4506,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:46.656Z,109134,10930745,-4506,6758,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:46.748Z,109135,10930845,-3379,0,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:46.940Z,109136,10930994,-3379,0,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:47.036Z,109137,10931089,-3379,-18022,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:47.116Z,109138,10931186,-3379,-5632,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:47.195Z,109139,10931267,-4506,-9011,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:47.271Z,109140,10931346,-4506,0,100000000,400000000,2,1,0,7,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100002700
2026-09-21T10:39:47.364Z,109141,10931446,-3379,7884,100000000,400000000,2,1,1,8,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
2026-09-21T10:39:47.522Z,109142,10931594,-3379,-1127,100000000,400000000,2,1,2,8,2,2,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,100003800
