utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T10:27:35.123Z,157651171000000,0x0515,0x0104,3,2,63,23653,23653,0,-44081,-44068,101828,10198923,1,0,0,0,3,4,0,0,0,8,8,0,1,101828,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,23653,38295,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,23600,10198923
2026-09-21T10:27:35.308Z,157651359000000,0x0515,0x0104,3,2,63,28158,28158,0,-44082,-44072,101831,10199223,1,0,0,0,3,4,0,0,0,8,8,0,1,101831,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,28158,39422,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,28100,10199223
2026-09-21T10:27:35.378Z,157651421000000,0x0515,0x0104,3,2,63,28158,28158,0,-44082,-44072,101832,10199223,1,0,0,0,3,4,0,0,0,8,8,0,1,101831,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,29285,33790,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,29200,10199396
2026-09-21T10:27:35.565Z,157651609000000,0x0515,0x0104,3,2,63,29285,29285,0,-44069,-44073,101833,10199540,1,0,0,0,3,4,0,0,0,8,8,0,1,101834,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,30411,23653,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,30400,10199470
2026-09-21T10:27:35.635Z,157651687000000,0x0515,0x0104,3,2,63,29285,29285,0,-44069,-44073,101835,10199540,1,0,0,0,3,4,0,0,0,8,8,0,1,101834,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,28158,27032,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,28100,10199653
2026-09-21T10:27:35.817Z,157651875000000,0x0515,0x0104,3,2,63,28158,28158,0,-44063,-44072,101836,10199728,1,0,0,0,3,4,0,0,0,8,8,0,1,101836,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,28158,18021,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,28100,10199728
2026-09-21T10:27:36.000Z,157652046000000,0x0515,0x0104,3,2,63,28158,28158,0,-44063,-44072,101838,10199728,1,0,0,0,3,4,0,0,0,8,8,0,1,101836,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,25906,24779,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,25900,10199925
2026-09-21T10:27:36.188Z,157652234000000,0x0515,0x0104,3,2,63,25906,25906,0,-44061,-44070,101839,10200162,1,0,0,0,3,4,0,0,0,8,8,0,1,101840,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,25906,33790,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,25900,10200025
2026-09-21T10:27:36.258Z,157652312000000,0x0515,0x0104,3,2,63,25906,25906,0,-44061,-44070,101841,10200162,1,0,0,0,3,4,0,0,0,8,8,0,1,101840,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,25906,25906,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,25900,10200275
2026-09-21T10:27:36.444Z,157652500000000,0x0515,0x0104,3,2,63,23653,23653,0,-44063,-44068,101842,10200425,1,0,0,0,3,4,0,0,0,8,8,0,1,101843,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,24779,20274,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,24700,10200349
2026-09-21T10:27:36.510Z,157652562000000,0x0515,0x0104,3,2,63,23653,23653,0,-44063,-44068,101844,10200425,1,0,0,0,3,4,0,0,0,8,8,0,1,101843,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,23653,27032,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,23600,10200530
2026-09-21T10:27:36.764Z,157652812000000,0x0515,0x0104,3,2,63,23653,23653,0,-44072,-44068,101846,10200672,1,0,0,0,3,4,0,0,0,8,8,0,1,101845,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,23653,22527,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,23600,10200785
2026-09-21T10:27:36.953Z,157653000000000,0x0515,0x0104,3,2,63,22527,22527,0,-44062,-44067,101847,10200928,1,0,0,0,3,4,0,0,0,8,8,0,1,101848,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,23653,19148,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,23600,10200858
2026-09-21T10:27:37.138Z,157653187000000,0x0515,0x0104,3,2,63,22527,22527,0,-44062,-44067,101849,10200928,1,0,0,0,3,4,0,0,0,8,8,0,1,101848,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,21400,16895,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,21400,10201040
2026-09-21T10:27:37.324Z,157653375000000,0x0515,0x0104,3,2,63,20274,20274,0,-44078,-44065,101851,10201228,1,0,0,0,3,4,0,0,0,8,8,0,1,101851,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,20274,34916,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,20200,10201228
2026-09-21T10:27:37.391Z,157653437000000,0x0515,0x0104,3,2,63,20274,20274,0,-44078,-44065,101853,10201228,1,0,0,0,3,4,0,0,0,8,8,0,1,101851,2,1,31537,31537,0,0,0,0,0,0,0,0,0,0,0x5AA5,24779,36043,100000000,400000000,62,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,24700,10201427
