utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T10:01:05.319Z,156061375000000,0x0515,0x0104,-3,2,63,-33790,-33790,0,-44019,-44017,85957,8608951,1,0,0,0,3,4,0,0,0,8,8,0,1,85956,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-32664,-11263,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-32600,8609096
2026-09-21T10:01:05.507Z,156061562000000,0x0515,0x0104,-3,2,63,-30411,-30411,0,-44032,-44020,85960,8609287,1,0,0,0,3,4,0,0,0,8,8,0,1,85959,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-29285,-18021,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-29200,8609401
2026-09-21T10:01:05.695Z,156061750000000,0x0515,0x0104,-3,2,63,-28158,-28158,0,-44014,-44022,85962,8609476,1,0,0,0,3,4,0,0,0,8,8,0,1,85961,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-29285,-45053,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-29200,8609589
2026-09-21T10:01:05.879Z,156061921000000,0x0515,0x0104,-3,2,63,-30411,-30411,0,-44010,-44020,85964,8609664,1,0,0,0,3,4,0,0,0,8,8,0,1,85963,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-31537,-33790,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-31500,8609776
2026-09-21T10:01:06.062Z,156062109000000,0x0515,0x0104,-3,2,63,-32664,-32664,0,-44013,-44018,85966,8609853,1,0,0,0,3,4,0,0,0,8,8,0,1,85965,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-33790,-45053,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-33700,8609960
2026-09-21T10:01:06.363Z,156062406000000,0x0515,0x0104,-3,2,63,-33790,-33790,0,-44007,-44017,85968,8609960,1,0,0,0,3,4,0,0,0,8,8,0,1,85966,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-36043,-45053,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-36000,8610153
2026-09-21T10:01:06.547Z,156062593000000,0x0515,0x0104,-3,2,63,-37169,-37169,0,-43999,-44014,85971,8610257,1,0,0,0,3,4,0,0,0,8,8,0,1,85969,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-38295,-32664,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-38200,8610453
2026-09-21T10:01:06.734Z,156062781000000,0x0515,0x0104,-3,2,63,-38295,-38295,0,-44018,-44013,85972,8610453,1,0,0,0,3,4,0,0,0,8,8,0,1,85971,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-37169,-24779,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-37100,8610628
2026-09-21T10:01:06.922Z,156062968000000,0x0515,0x0104,-3,2,63,-36043,-36043,0,-44006,-44015,85974,8610702,1,0,0,0,3,4,0,0,0,8,8,0,1,85973,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-34916,-27032,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-34900,8610815
2026-09-21T10:01:07.110Z,156063156000000,0x0515,0x0104,-3,2,63,-33790,-33790,0,-44023,-44017,85976,8610889,1,0,0,0,3,4,0,0,0,8,8,0,1,85975,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-32664,-39422,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-32600,8611004
