utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T10:01:48.127Z,156104171000000,0x0515,0x0104,-3,2,63,-20274,-20274,0,-44022,-44029,86383,8651863,1,0,0,0,3,4,0,0,0,8,8,0,1,86384,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-29285,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,8651726
2026-09-21T10:01:48.314Z,156104359000000,0x0515,0x0104,-3,2,63,-19148,-19148,0,-44054,-44030,86386,8652168,1,0,0,0,3,4,0,0,0,8,8,0,1,86387,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-21400,0,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-21400,8652025
2026-09-21T10:01:48.383Z,156104437000000,0x0515,0x0104,-3,2,63,-19148,-19148,0,-44054,-44030,86388,8652168,1,0,0,0,3,4,0,0,0,8,8,0,1,86387,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-10137,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,8652280
2026-09-21T10:01:48.571Z,156104625000000,0x0515,0x0104,-3,2,63,-16895,-16895,0,-44024,-44032,86389,8652424,1,0,0,0,3,4,0,0,0,8,8,0,1,86390,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-15769,-31537,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-15700,8652355
2026-09-21T10:01:48.638Z,156104687000000,0x0515,0x0104,-3,2,63,-16895,-16895,0,-44024,-44032,86391,8652424,1,0,0,0,3,4,0,0,0,8,8,0,1,86390,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-18021,-20274,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-18000,8652537
2026-09-21T10:01:48.822Z,156104875000000,0x0515,0x0104,-3,2,63,-18021,-18021,0,-44037,-44031,86392,8652619,1,0,0,0,3,4,0,0,0,8,8,0,1,86392,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-18021,-11263,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-18000,8652619
2026-09-21T10:01:49.007Z,156105062000000,0x0515,0x0104,-3,2,63,-18021,-18021,0,-44037,-44031,86393,8652619,1,0,0,0,3,4,0,0,0,8,8,0,1,86392,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-2253,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,8652788
2026-09-21T10:01:49.197Z,156105250000000,0x0515,0x0104,-3,2,63,-13516,-13516,0,-44047,-44035,86395,8653049,1,0,0,0,3,4,0,0,0,8,8,0,1,86396,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-14642,-10137,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-14600,8652978
2026-09-21T10:01:49.266Z,156105312000000,0x0515,0x0104,-3,2,63,-13516,-13516,0,-44047,-44035,86397,8653049,1,0,0,0,3,4,0,0,0,8,8,0,1,86396,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-13516,-16895,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-13500,8653162
2026-09-21T10:01:49.450Z,156105500000000,0x0515,0x0104,-3,2,63,-13516,-13516,0,-44011,-44035,86398,8653238,1,0,0,0,3,4,0,0,0,8,8,0,1,86398,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-13516,-40548,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-13500,8653238
2026-09-21T10:01:49.515Z,156105562000000,0x0515,0x0104,-3,2,63,-13516,-13516,0,-44011,-44035,86400,8653238,1,0,0,0,3,4,0,0,0,8,8,0,1,86398,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-13516,-16895,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-13500,8653420
2026-09-21T10:01:49.774Z,156105828000000,0x0515,0x0104,-3,2,63,-13516,-13516,0,-44015,-44035,86402,8653557,1,0,0,0,3,4,0,0,0,8,8,0,1,86401,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-15769,-27032,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-15700,8653670
2026-09-21T10:01:49.958Z,156106015000000,0x0515,0x0104,-3,2,63,-16895,-16895,0,-44035,-44032,86403,8653821,1,0,0,0,3,4,0,0,0,8,8,0,1,86404,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-9011,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,8653746
2026-09-21T10:01:50.142Z,156106187000000,0x0515,0x0104,-3,2,63,-16895,-16895,0,-44035,-44032,86405,8653821,1,0,0,0,3,4,0,0,0,8,8,0,1,86404,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-20274,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,8653924
2026-09-21T10:01:50.327Z,156106375000000,0x0515,0x0104,-3,2,63,-18021,-18021,0,-44018,-44031,86407,8654121,1,0,0,0,3,4,0,0,0,8,8,0,1,86407,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-18021,-32664,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-18000,8654121
2026-09-21T10:01:50.396Z,156106453000000,0x0515,0x0104,-3,2,63,-18021,-18021,0,-44018,-44031,86408,8654121,1,0,0,0,3,4,0,0,0,8,8,0,1,86407,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-20274,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,8654292
2026-09-21T10:01:50.586Z,156106640000000,0x0515,0x0104,-3,2,63,-18021,-18021,0,-44041,-44031,86409,8654437,1,0,0,0,3,4,0,0,0,8,8,0,1,86410,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,7884,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,8654368
2026-09-21T10:01:50.656Z,156106703000000,0x0515,0x0104,-3,2,63,-18021,-18021,0,-44041,-44031,86411,8654437,1,0,0,0,3,4,0,0,0,8,8,0,1,86410,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-19148,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,8654550
2026-09-21T10:01:50.840Z,156106890000000,0x0515,0x0104,-3,2,63,-15769,-15769,0,-44036,-44033,86412,8654628,1,0,0,0,3,4,0,0,0,8,8,0,1,86412,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-15769,-12390,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-15700,8654628
2026-09-21T10:01:50.906Z,156106953000000,0x0515,0x0104,-3,2,63,-15769,-15769,0,-44036,-44033,86414,8654628,1,0,0,0,3,4,0,0,0,8,8,0,1,86412,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-15769,-19148,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-15700,8654823
