utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T10:02:13.772Z,156129828000000,0x0515,0x0104,-3,2,63,-27032,-27032,0,-44028,-44023,86640,8677459,1,0,0,0,3,4,0,0,0,8,8,0,1,86640,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-27032,-21400,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-27000,8677459
2026-09-21T10:02:13.957Z,156130015000000,0x0515,0x0104,-3,2,63,-23653,-23653,0,-44021,-44026,86643,8677759,1,0,0,0,3,4,0,0,0,8,8,0,1,86643,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-23653,-29285,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-23600,8677759
2026-09-21T10:02:14.026Z,156130078000000,0x0515,0x0104,-3,2,63,-23653,-23653,0,-44021,-44026,86644,8677759,1,0,0,0,3,4,0,0,0,8,8,0,1,86643,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-24779,-38295,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-24700,8677926
2026-09-21T10:02:14.216Z,156130265000000,0x0515,0x0104,-3,2,63,-25906,-25906,0,-44029,-44024,86645,8678069,1,0,0,0,3,4,0,0,0,8,8,0,1,86646,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-25906,-29285,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-25900,8678000
2026-09-21T10:02:14.281Z,156130328000000,0x0515,0x0104,-3,2,63,-25906,-25906,0,-44029,-44024,86647,8678069,1,0,0,0,3,4,0,0,0,8,8,0,1,86646,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-25906,-32664,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-25900,8678183
2026-09-21T10:02:14.465Z,156130515000000,0x0515,0x0104,-3,2,63,-27032,-27032,0,-44003,-44023,86648,8678260,1,0,0,0,3,4,0,0,0,8,8,0,1,86648,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-27032,-49559,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-27000,8678260
2026-09-21T10:02:14.534Z,156130578000000,0x0515,0x0104,-3,2,63,-27032,-27032,0,-44003,-44023,86649,8678260,1,0,0,0,3,4,0,0,0,8,8,0,1,86648,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-28158,-11263,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-28100,8678433
2026-09-21T10:02:14.841Z,156130890000000,0x0515,0x0104,-3,2,63,-23653,-23653,0,-44030,-44026,86650,8678576,1,0,0,0,3,4,0,0,0,8,8,0,1,86651,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-25906,-11263,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-25900,8678508
2026-09-21T10:02:15.027Z,156131078000000,0x0515,0x0104,-3,2,63,-22527,-22527,0,-44011,-44027,86653,8678883,1,0,0,0,3,4,0,0,0,8,8,0,1,86654,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-22527,-24779,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-22500,8678812
2026-09-21T10:02:15.097Z,156131140000000,0x0515,0x0104,-3,2,63,-22527,-22527,0,-44011,-44027,86655,8678883,1,0,0,0,3,4,0,0,0,8,8,0,1,86654,2,1,-34916,-34916,0,0,0,0,0,0,0,0,0,0,0x5AA5,-22527,-25906,100000000,400000000,0,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-22500,8678995
