utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T12:40:26.080Z,165622125000000,0x0515,0x0104,-2,2,63,-15769,-15769,0,-44018,-44033,181423,18170566,1,0,0,0,3,4,0,0,0,8,8,0,1,181424,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-15769,-15769,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-15700,18170458
2026-09-21T12:40:26.267Z,165622312000000,0x0515,0x0104,-2,2,63,-19148,-19148,0,-44039,-44030,181426,18170870,1,0,0,0,3,4,0,0,0,8,8,0,1,181427,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-20274,-10137,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-20200,18170800
2026-09-21T12:40:26.332Z,165622390000000,0x0515,0x0104,-2,2,63,-19148,-19148,0,-44039,-44030,181428,18170870,1,0,0,0,3,4,0,0,0,8,8,0,1,181427,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-18021,4505,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-18000,18170984
2026-09-21T12:40:26.518Z,165622562000000,0x0515,0x0104,-2,2,63,-16895,-16895,0,-44024,-44032,181429,18171059,1,0,0,0,3,4,0,0,0,8,8,0,1,181429,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-25906,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,18171059
2026-09-21T12:40:26.589Z,165622640000000,0x0515,0x0104,-2,2,63,-16895,-16895,0,-44024,-44032,181430,18171059,1,0,0,0,3,4,0,0,0,8,8,0,1,181429,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-18021,-31537,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-18000,18171235
2026-09-21T12:40:26.777Z,165622828000000,0x0515,0x0104,-2,2,63,-21400,-21400,0,-44040,-44028,181431,18171379,1,0,0,0,3,4,0,0,0,8,8,0,1,181432,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-20274,-48432,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-20200,18171309
2026-09-21T12:40:26.964Z,165623015000000,0x0515,0x0104,-2,2,63,-21400,-21400,0,-44040,-44028,181433,18171379,1,0,0,0,3,4,0,0,0,8,8,0,1,181432,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,9011,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,18171492
2026-09-21T12:40:27.148Z,165623203000000,0x0515,0x0104,-2,2,63,-18021,-18021,0,-44024,-44031,181435,18171761,1,0,0,0,3,4,0,0,0,8,8,0,1,181436,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-31537,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,18171685
2026-09-21T12:40:27.213Z,165623265000000,0x0515,0x0104,-2,2,63,-18021,-18021,0,-44024,-44031,181437,18171761,1,0,0,0,3,4,0,0,0,8,8,0,1,181436,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-21400,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,18171864
2026-09-21T12:40:27.470Z,165623515000000,0x0515,0x0104,-2,2,63,-19148,-19148,0,-44034,-44030,181439,18172004,1,0,0,0,3,4,0,0,0,8,8,0,1,181438,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-16895,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,18172117
2026-09-21T12:40:27.658Z,165623703000000,0x0515,0x0104,-2,2,63,-19148,-19148,0,-44028,-44030,181440,18172262,1,0,0,0,3,4,0,0,0,8,8,0,1,181441,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-24779,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,18172192
2026-09-21T12:40:27.724Z,165623781000000,0x0515,0x0104,-2,2,63,-19148,-19148,0,-44028,-44030,181442,18172262,1,0,0,0,3,4,0,0,0,8,8,0,1,181441,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-10137,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,18172375
2026-09-21T12:40:27.913Z,165623968000000,0x0515,0x0104,-2,2,63,-19148,-19148,0,-44024,-44030,181443,18172462,1,0,0,0,3,4,0,0,0,8,8,0,1,181443,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-25906,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,18172462
2026-09-21T12:40:28.101Z,165624156000000,0x0515,0x0104,-2,2,63,-19148,-19148,0,-44024,-44030,181444,18172462,1,0,0,0,3,4,0,0,0,8,8,0,1,181443,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-20274,-36043,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-20200,18172628
2026-09-21T12:40:28.288Z,165624343000000,0x0515,0x0104,-2,2,63,-21400,-21400,0,-44034,-44028,181446,18172892,1,0,0,0,3,4,0,0,0,8,8,0,1,181447,2,1,-15769,-15769,0,0,0,0,0,0,0,0,0,0,0x5AA5,-22527,-18021,100000000,400000000,23,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-22500,18172821
