utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T13:21:26.819Z,168082875000000,0x0515,0x0104,9878,2,31,98744588,98744588,0,-131716,-131716,205992,20631497,1,0,0,0,3,4,0,0,0,8,8,0,1,205993,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98744588,98750220,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98744500,20631345
2026-09-21T13:21:27.004Z,168083046000000,0x0515,0x0104,9878,2,31,98745714,98745714,0,-131730,-131717,205996,20631746,1,0,0,0,3,4,0,0,0,8,8,0,1,205996,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98745714,98760357,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98745700,20631746
2026-09-21T13:21:27.074Z,168083125000000,0x0515,0x0104,9878,2,31,98745714,98745714,0,-131730,-131717,205997,20631746,1,0,0,0,3,4,0,0,0,8,8,0,1,205996,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98746841,98750220,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98746800,20631915
2026-09-21T13:21:27.264Z,168083312000000,0x0515,0x0104,9878,2,31,98746841,98746841,0,-131728,-131718,205998,20632061,1,0,0,0,3,4,0,0,0,8,8,0,1,205999,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98746841,98745714,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98746800,20631989
2026-09-21T13:21:27.335Z,168083390000000,0x0515,0x0104,9878,2,31,98746841,98746841,0,-131728,-131718,206000,20632061,1,0,0,0,3,4,0,0,0,8,8,0,1,205999,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98747967,98755851,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98747900,20632175
2026-09-21T13:21:27.523Z,168083578000000,0x0515,0x0104,9878,2,31,98749093,98749093,0,-131719,-131720,206001,20632250,1,0,0,0,3,4,0,0,0,8,8,0,1,206001,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98749093,98747967,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98749000,20632250
2026-09-21T13:21:27.708Z,168083765000000,0x0515,0x0104,9878,2,31,98749093,98749093,0,-131719,-131720,206003,20632250,1,0,0,0,3,4,0,0,0,8,8,0,1,206001,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98747967,98741209,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98747900,20632447
2026-09-21T13:21:27.899Z,168083953000000,0x0515,0x0104,9878,2,31,98746841,98746841,0,-131720,-131718,206004,20632694,1,0,0,0,3,4,0,0,0,8,8,0,1,206005,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98746841,98753599,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98746800,20632548
2026-09-21T13:21:27.968Z,168084015000000,0x0515,0x0104,9878,2,31,98746841,98746841,0,-131720,-131718,206006,20632694,1,0,0,0,3,4,0,0,0,8,8,0,1,206005,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98746841,98738956,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98746800,20632809
2026-09-21T13:21:28.158Z,168084203000000,0x0515,0x0104,9878,2,31,98745714,98745714,0,-131711,-131717,206007,20632954,1,0,0,0,3,4,0,0,0,8,8,0,1,206008,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98746841,98750220,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98746800,20632885
2026-09-21T13:21:28.225Z,168084281000000,0x0515,0x0104,9878,2,31,98745714,98745714,0,-131711,-131717,206009,20632954,1,0,0,0,3,4,0,0,0,8,8,0,1,206008,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98746841,98750220,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98746800,20633068
2026-09-21T13:21:28.412Z,168084468000000,0x0515,0x0104,9878,2,31,98745714,98745714,0,-131702,-131717,206010,20633149,1,0,0,0,3,4,0,0,0,8,8,0,1,206010,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98745714,98728819,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98745700,20633149
2026-09-21T13:21:28.481Z,168084531000000,0x0515,0x0104,9878,2,31,98745714,98745714,0,-131702,-131717,206011,20633149,1,0,0,0,3,4,0,0,0,8,8,0,1,206010,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98744588,98741209,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98744500,20633322
2026-09-21T13:21:28.671Z,168084718000000,0x0515,0x0104,9878,2,31,98744588,98744588,0,-131715,-131716,206012,20633467,1,0,0,0,3,4,0,0,0,8,8,0,1,206013,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98744588,98743462,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98744500,20633397
2026-09-21T13:21:28.859Z,168084906000000,0x0515,0x0104,9878,2,31,98744588,98744588,0,-131715,-131716,206014,20633467,1,0,0,0,3,4,0,0,0,8,8,0,1,206013,2,1,98784010,98784010,0,0,0,0,0,0,0,0,0,0,0x5AA5,98744588,98737830,100000000,400000000,115,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,98744500,20633581
