utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T15:31:34.960Z,175885390000000,0x0515,0x0104,0,2,63,-7884,-7884,0,-44034,-44040,4283,429865,1,0,0,0,3,4,0,0,0,8,8,0,1,4284,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-6758,-11263,100000000,400000000,2,2,2,2,2,146,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-6700,429765
2026-09-21T15:31:35.148Z,175885578000000,0x0515,0x0104,0,2,63,-6758,-6758,0,-44045,-44041,4286,430165,1,0,0,0,3,4,0,0,0,8,8,0,1,4287,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-7884,-10137,100000000,400000000,2,2,2,2,2,149,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-7800,430087
2026-09-21T15:31:35.216Z,175885656000000,0x0515,0x0104,0,2,63,-6758,-6758,0,-44045,-44041,4288,430165,1,0,0,0,3,4,0,0,0,8,8,0,1,4287,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-6758,-10137,100000000,400000000,2,2,2,2,2,151,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-6700,430270
2026-09-21T15:31:35.475Z,175885906000000,0x0515,0x0104,0,2,63,-6758,-6758,0,-44027,-44041,4290,430414,1,0,0,0,3,4,0,0,0,8,8,0,1,4289,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-7884,-12390,100000000,400000000,2,2,2,2,2,153,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-7800,430528
2026-09-21T15:31:35.664Z,175886093000000,0x0515,0x0104,0,2,63,-10137,-10137,0,-44012,-44038,4291,430672,1,0,0,0,3,4,0,0,0,8,8,0,1,4292,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-9011,-13516,100000000,400000000,2,2,2,2,2,154,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-9000,430603
2026-09-21T15:31:35.848Z,175886281000000,0x0515,0x0104,0,2,63,-10137,-10137,0,-44012,-44038,4293,430672,1,0,0,0,3,4,0,0,0,8,8,0,1,4292,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-13516,-41674,100000000,400000000,2,2,2,2,2,156,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-13500,430786
2026-09-21T15:31:36.034Z,175886468000000,0x0515,0x0104,0,2,63,-16895,-16895,0,-44034,-44032,4295,430975,1,0,0,0,3,4,0,0,0,8,8,0,1,4295,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-14642,100000000,400000000,2,2,2,2,2,158,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,430975
2026-09-21T15:31:36.102Z,175886531000000,0x0515,0x0104,0,2,63,-16895,-16895,0,-44034,-44032,4297,430975,1,0,0,0,3,4,0,0,0,8,8,0,1,4295,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-33790,100000000,400000000,2,2,2,2,2,160,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,431167
2026-09-21T15:31:36.361Z,175886796000000,0x0515,0x0104,0,2,63,-16895,-16895,0,-44029,-44032,4299,431300,1,0,0,0,3,4,0,0,0,8,8,0,1,4298,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-10137,100000000,400000000,2,2,2,2,2,162,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,431413
2026-09-21T15:31:36.549Z,175886984000000,0x0515,0x0104,0,2,63,-16895,-16895,0,-44024,-44032,4300,431568,1,0,0,0,3,4,0,0,0,8,8,0,1,4301,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-16895,-20274,100000000,400000000,2,2,2,2,2,163,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-16800,431488
2026-09-21T15:31:36.616Z,175887046000000,0x0515,0x0104,0,2,63,-16895,-16895,0,-44024,-44032,4302,431568,1,0,0,0,3,4,0,0,0,8,8,0,1,4301,2,1,-4505,-4505,0,0,0,0,0,0,0,0,0,0,0x5AA5,-18021,-25906,100000000,400000000,2,2,2,2,2,165,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-18000,431671
