utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T15:23:03.919Z,175374359000000,0x0515,0x0104,49992,2,31,499944810,499944810,0,-487922,-487916,2333,234514,1,0,0,0,3,4,0,0,0,8,8,0,1,2333,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499944810,499951568,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499944800,234514
2026-09-21T15:23:04.107Z,175374546000000,0x0515,0x0104,49992,2,31,499943683,499943683,0,-487917,-487915,2336,234826,1,0,0,0,3,4,0,0,0,8,8,0,1,2336,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499943683,499945936,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499943600,234826
2026-09-21T15:23:04.292Z,175374734000000,0x0515,0x0104,49992,2,31,499943683,499943683,0,-487917,-487915,2338,234826,1,0,0,0,3,4,0,0,0,8,8,0,1,2336,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499940304,499936925,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499940300,235015
2026-09-21T15:23:04.479Z,175374921000000,0x0515,0x0104,49992,2,31,499938052,499938052,0,-487886,-487910,2340,235215,1,0,0,0,3,4,0,0,0,8,8,0,1,2340,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499938052,499911020,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499938000,235215
2026-09-21T15:23:04.549Z,175374984000000,0x0515,0x0104,49992,2,31,499938052,499938052,0,-487886,-487910,2341,235215,1,0,0,0,3,4,0,0,0,8,8,0,1,2340,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499934673,499913272,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499934600,235383
2026-09-21T15:23:04.740Z,175375171000000,0x0515,0x0104,49992,2,31,499931294,499931294,0,-487912,-487904,2342,235529,1,0,0,0,3,4,0,0,0,8,8,0,1,2343,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499932420,499927915,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499932400,235458
2026-09-21T15:23:04.930Z,175375359000000,0x0515,0x0104,49992,2,31,499931294,499931294,0,-487912,-487904,2344,235529,1,0,0,0,3,4,0,0,0,8,8,0,1,2343,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499932420,499957199,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499932400,235644
2026-09-21T15:23:05.116Z,175375546000000,0x0515,0x0104,49992,2,31,499934673,499934673,0,-487889,-487907,2346,235917,1,0,0,0,3,4,0,0,0,8,8,0,1,2347,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499936925,499918904,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499936900,235837
2026-09-21T15:23:05.182Z,175375625000000,0x0515,0x0104,49992,2,31,499934673,499934673,0,-487889,-487907,2348,235917,1,0,0,0,3,4,0,0,0,8,8,0,1,2347,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499932420,499943683,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499932400,236020
2026-09-21T15:23:05.559Z,175376000000000,0x0515,0x0104,49992,2,31,499933546,499933546,0,-487922,-487906,2350,236161,1,0,0,0,3,4,0,0,0,8,8,0,1,2349,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499934673,499942557,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499934600,236275
2026-09-21T15:23:05.750Z,175376187000000,0x0515,0x0104,49992,2,31,499941431,499941431,0,-487948,-487913,2352,236538,1,0,0,0,3,4,0,0,0,8,8,0,1,2353,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499939178,499957199,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499939100,236467
2026-09-21T15:23:05.820Z,175376250000000,0x0515,0x0104,49992,2,31,499941431,499941431,0,-487948,-487913,2354,236538,1,0,0,0,3,4,0,0,0,8,8,0,1,2353,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499943683,499960578,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499943600,236653
2026-09-21T15:23:06.006Z,175376437000000,0x0515,0x0104,49992,2,31,499945936,499945936,0,-487921,-487917,2355,236728,1,0,0,0,3,4,0,0,0,8,8,0,1,2355,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499945936,499950441,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499945900,236728
2026-09-21T15:23:06.192Z,175376625000000,0x0515,0x0104,49992,2,31,499945936,499945936,0,-487921,-487917,2357,236728,1,0,0,0,3,4,0,0,0,8,8,0,1,2355,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499947062,499923409,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499947000,236918
2026-09-21T15:23:06.383Z,175376812000000,0x0515,0x0104,49992,2,31,499948189,499948189,0,-487922,-487919,2359,237119,1,0,0,0,3,4,0,0,0,8,8,0,1,2359,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499948189,499951568,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499948100,237119
2026-09-21T15:23:06.454Z,175376890000000,0x0515,0x0104,49992,2,31,499948189,499948189,0,-487922,-487919,2360,237119,1,0,0,0,3,4,0,0,0,8,8,0,1,2359,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499948189,499925662,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499948100,237288
2026-09-21T15:23:06.644Z,175377078000000,0x0515,0x0104,49992,2,31,499943683,499943683,0,-487898,-487915,2361,237433,1,0,0,0,3,4,0,0,0,8,8,0,1,2362,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499945936,499933546,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499945900,237364
2026-09-21T15:23:06.831Z,175377265000000,0x0515,0x0104,49992,2,31,499943683,499943683,0,-487898,-487915,2363,237433,1,0,0,0,3,4,0,0,0,8,8,0,1,2362,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499941431,499904262,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499941400,237547
2026-09-21T15:23:07.019Z,175377453000000,0x0515,0x0104,49992,2,31,499933546,499933546,0,-487911,-487906,2365,237820,1,0,0,0,3,4,0,0,0,8,8,0,1,2366,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499933546,499930167,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499933500,237738
2026-09-21T15:23:07.086Z,175377515000000,0x0515,0x0104,49992,2,31,499933546,499933546,0,-487911,-487906,2367,237820,1,0,0,0,3,4,0,0,0,8,8,0,1,2366,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499933546,499931294,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499933500,237923
2026-09-21T15:23:07.463Z,175377906000000,0x0515,0x0104,49992,2,31,499934673,499934673,0,-487910,-487907,2369,238065,1,0,0,0,3,4,0,0,0,8,8,0,1,2368,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499934673,499947062,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499934600,238180
2026-09-21T15:23:07.653Z,175378093000000,0x0515,0x0104,49992,2,31,499938052,499938052,0,-487928,-487910,2371,238442,1,0,0,0,3,4,0,0,0,8,8,0,1,2372,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499936925,499942557,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499936900,238370
2026-09-21T15:23:07.723Z,175378156000000,0x0515,0x0104,49992,2,31,499938052,499938052,0,-487928,-487910,2373,238442,1,0,0,0,3,4,0,0,0,8,8,0,1,2372,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499939178,499942557,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499939100,238557
2026-09-21T15:23:07.910Z,175378343000000,0x0515,0x0104,49992,2,31,499939178,499939178,0,-487908,-487911,2374,238632,1,0,0,0,3,4,0,0,0,8,8,0,1,2374,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499939178,499935799,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499939100,238632
2026-09-21T15:23:08.095Z,175378531000000,0x0515,0x0104,49992,2,31,499939178,499939178,0,-487908,-487911,2376,238632,1,0,0,0,3,4,0,0,0,8,8,0,1,2374,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499938052,499916651,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499938000,238822
2026-09-21T15:23:08.283Z,175378718000000,0x0515,0x0104,49992,2,31,499935799,499935799,0,-487904,-487908,2377,239074,1,0,0,0,3,4,0,0,0,8,8,0,1,2378,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499936925,499935799,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499936900,238928
2026-09-21T15:23:08.353Z,175378796000000,0x0515,0x0104,49992,2,31,499935799,499935799,0,-487904,-487908,2379,239074,1,0,0,0,3,4,0,0,0,8,8,0,1,2378,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499934673,499930167,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499934600,239188
2026-09-21T15:23:08.542Z,175378984000000,0x0515,0x0104,49992,2,31,499935799,499935799,0,-487916,-487908,2380,239333,1,0,0,0,3,4,0,0,0,8,8,0,1,2381,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499934673,499944810,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499934600,239263
2026-09-21T15:23:08.727Z,175379156000000,0x0515,0x0104,49992,2,31,499935799,499935799,0,-487916,-487908,2382,239333,1,0,0,0,3,4,0,0,0,8,8,0,1,2381,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499936925,499942557,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499936900,239446
2026-09-21T15:23:08.914Z,175379343000000,0x0515,0x0104,49992,2,31,499939178,499939178,0,-487923,-487911,2384,239635,1,0,0,0,3,4,0,0,0,8,8,0,1,2384,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499939178,499952694,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499939100,239635
2026-09-21T15:23:08.981Z,175379421000000,0x0515,0x0104,49992,2,31,499939178,499939178,0,-487923,-487911,2386,239635,1,0,0,0,3,4,0,0,0,8,8,0,1,2384,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499941431,499947062,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499941400,239824
