utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-21T15:20:53.350Z,175243781000000,0x0515,0x0104,49992,2,31,499918904,499918904,0,-487900,-487893,1029,104011,1,0,0,0,3,4,0,0,0,8,8,0,1,1030,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499918904,499918904,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499918900,103885
2026-09-21T15:20:53.542Z,175243984000000,0x0515,0x0104,49992,2,31,499921157,499921157,0,-487900,-487895,1032,104320,1,0,0,0,3,4,0,0,0,8,8,0,1,1033,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499920030,499933546,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499920000,104186
2026-09-21T15:20:53.730Z,175244171000000,0x0515,0x0104,49992,2,31,499921157,499921157,0,-487900,-487895,1034,104320,1,0,0,0,3,4,0,0,0,8,8,0,1,1033,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499922283,499891872,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499922200,104435
2026-09-21T15:20:53.919Z,175244359000000,0x0515,0x0104,49992,2,31,499915525,499915525,0,-487875,-487890,1036,104699,1,0,0,0,3,4,0,0,0,8,8,0,1,1037,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499917778,499911020,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499917700,104627
2026-09-21T15:20:53.989Z,175244421000000,0x0515,0x0104,49992,2,31,499915525,499915525,0,-487875,-487890,1038,104699,1,0,0,0,3,4,0,0,0,8,8,0,1,1037,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499913272,499895251,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499913200,104813
2026-09-21T15:20:54.175Z,175244609000000,0x0515,0x0104,49992,2,31,499911020,499911020,0,-487908,-487886,1039,104888,1,0,0,0,3,4,0,0,0,8,8,0,1,1039,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499911020,499935799,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499911000,104888
2026-09-21T15:20:54.356Z,175244796000000,0x0515,0x0104,49992,2,31,499911020,499911020,0,-487908,-487886,1041,104888,1,0,0,0,3,4,0,0,0,8,8,0,1,1039,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499916651,499927915,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499916600,105087
2026-09-21T15:20:54.543Z,175244984000000,0x0515,0x0104,49992,2,31,499920030,499920030,0,-487897,-487894,1042,105324,1,0,0,0,3,4,0,0,0,8,8,0,1,1043,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499918904,499930167,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499918900,105187
2026-09-21T15:20:54.613Z,175245046000000,0x0515,0x0104,49992,2,31,499920030,499920030,0,-487897,-487894,1044,105324,1,0,0,0,3,4,0,0,0,8,8,0,1,1043,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499920030,499916651,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499920000,105437
2026-09-21T15:20:54.800Z,175245234000000,0x0515,0x0104,49992,2,31,499920030,499920030,0,-487897,-487894,1045,105588,1,0,0,0,3,4,0,0,0,8,8,0,1,1046,2,1,499915525,499915525,0,0,0,0,0,0,0,0,0,0,0x5AA5,499920030,499929041,100000000,400000000,2,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,499920000,105511
