utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-22T09:06:45.311Z,239195750000000,0x0516,0x0104,49999,2,31,499986484,499986484,0,-487949,-487953,103,63021,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:45.641Z,239196078000000,0x0516,0x0104,49999,2,31,499981979,499981979,0,-487947,-487949,107,63415,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:45.978Z,239196421000000,0x0516,0x0104,49999,2,31,499984231,499984231,0,-487956,-487951,110,63741,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:46.307Z,239196750000000,0x0516,0x0104,49999,2,31,499980852,499980852,0,-487934,-487948,113,64036,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:46.637Z,239197078000000,0x0516,0x0104,49999,2,31,499981979,499981979,0,-487965,-487949,117,64417,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:46.964Z,239197406000000,0x0516,0x0104,49999,2,31,499983105,499983105,0,-487942,-487950,120,64736,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:47.299Z,239197734000000,0x0516,0x0104,49999,2,31,499979726,499979726,0,-487944,-487947,123,65023,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:47.626Z,239198062000000,0x0516,0x0104,49999,2,31,499979726,499979726,0,-487961,-487947,126,65356,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:47.954Z,239198390000000,0x0516,0x0104,49999,2,31,499980852,499980852,0,-487945,-487948,130,65726,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2026-09-22T09:06:48.286Z,239198718000000,0x0516,0x0104,49999,2,31,499983105,499983105,0,-487956,-487950,133,66019,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,499985358,499985358,4,0,4,0,1,100000000,400000000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
