utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-22T09:01:49.210Z,238899640000000,0x0516,0x0104,50000,2,31,499997747,499997747,0,-487978,-487963,1913,193933,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,0,0,0,0,6,0,0,0
2026-09-22T09:01:49.539Z,238899968000000,0x0516,0x0104,50000,2,31,500001126,500001126,0,-487981,-487966,1916,194277,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
2026-09-22T09:01:49.868Z,238900312000000,0x0516,0x0104,50000,2,31,500000000,500000000,0,-487963,-487965,1920,194647,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,0,0,0,0,6,0,0,0
2026-09-22T09:01:50.200Z,238900640000000,0x0516,0x0104,50000,2,31,500001126,500001126,0,-487975,-487966,1923,194935,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
2026-09-22T09:01:50.529Z,238900968000000,0x0516,0x0104,50000,2,31,499998874,499998874,0,-487967,-487964,1926,195268,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
2026-09-22T09:01:50.856Z,238901296000000,0x0516,0x0104,50000,2,31,499997747,499997747,0,-487958,-487963,1930,195638,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,0,0,0,0,6,0,0,0
2026-09-22T09:01:51.190Z,238901625000000,0x0516,0x0104,50000,2,31,499994368,499994368,0,-487953,-487960,1933,195935,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
2026-09-22T09:01:51.520Z,238901953000000,0x0516,0x0104,50000,2,31,499992116,499992116,0,-487969,-487958,1936,196257,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
2026-09-22T09:01:51.848Z,238902281000000,0x0516,0x0104,50000,2,31,499995495,499995495,0,-487970,-487961,1940,196637,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,0,0,0,0,6,0,0,0
2026-09-22T09:01:52.178Z,238902609000000,0x0516,0x0104,50000,2,31,499996621,499996621,0,-487950,-487962,1943,196956,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
2026-09-22T09:01:52.510Z,238902953000000,0x0516,0x0104,50000,2,31,499990989,499990989,0,-487943,-487957,1946,197244,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
2026-09-22T09:01:52.837Z,238903265000000,0x0516,0x0104,50000,2,31,499987610,499987610,0,-487946,-487954,1949,197577,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,0,0,0,0,6,0,0,0
2026-09-22T09:01:53.168Z,238903609000000,0x0516,0x0104,50000,2,31,499983105,499983105,0,-487934,-487950,1953,197945,1,0,0,0,3,4,0,0,1,9,8,0,1,2,1,500004505,500004505,4,0,4,0,1,100000000,400000000,2,1,8,3,1,0,0,1,1,1,0,0,6,0,0,0
