utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T15:12:32.610Z,0x0518,0x0104,49992,2,15,499921157,499921157,0,14,1347542,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:32.849Z,0x0518,0x0104,49992,2,15,499917778,499917778,0,16,1347730,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499917778,499917778,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:33.083Z,0x0518,0x0104,49992,2,15,499917778,499917778,0,19,1348031,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499917778,499917778,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:33.319Z,0x0518,0x0104,49992,2,31,499915525,499915525,0,21,1348254,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499914399,499914399,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:33.557Z,0x0518,0x0104,49992,2,31,499915525,499915525,0,23,1348431,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499915525,499915525,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:33.788Z,0x0518,0x0104,49992,2,31,499915525,499915525,0,26,1348733,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499916651,499916651,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:34.023Z,0x0518,0x0104,49992,2,31,499917778,499917778,0,28,1348958,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499917778,499917778,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:34.257Z,0x0518,0x0104,49992,2,31,499917778,499917778,0,30,1349133,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499917778,499917778,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:34.493Z,0x0518,0x0104,49992,2,31,499917778,499917778,0,33,1349433,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:34.732Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,35,1349663,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499921157,499921157,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:34.967Z,0x0518,0x0104,49992,2,31,499922283,499922283,0,37,1349835,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499922283,499922283,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:35.201Z,0x0518,0x0104,49992,2,31,499921157,499921157,0,40,1350137,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:35.439Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,42,1350371,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:35.674Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,44,1350541,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499920030,499920030,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:35.908Z,0x0518,0x0104,49992,2,31,499922283,499922283,0,47,1350844,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:36.147Z,0x0518,0x0104,49992,2,31,499923409,499923409,0,49,1351079,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:36.383Z,0x0518,0x0104,49992,2,31,499924536,499924536,0,51,1351249,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499925662,499925662,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:36.619Z,0x0518,0x0104,49992,2,31,499925662,499925662,0,54,1351553,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:36.856Z,0x0518,0x0104,49992,2,31,499922283,499922283,0,56,1351737,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499920030,499920030,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:37.092Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,59,1352037,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499916651,499916651,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:37.327Z,0x0518,0x0104,49992,2,31,499914399,499914399,0,61,1352262,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499909893,499909893,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:37.564Z,0x0518,0x0104,49992,2,31,499912146,499912146,0,63,1352438,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499913272,499913272,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:37.794Z,0x0518,0x0104,49992,2,31,499913272,499913272,0,66,1352738,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499913272,499913272,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:38.028Z,0x0518,0x0104,49992,2,31,499914399,499914399,0,68,1352964,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499916651,499916651,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:38.263Z,0x0518,0x0104,49992,2,31,499915525,499915525,0,70,1353139,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499914399,499914399,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:38.496Z,0x0518,0x0104,49992,2,31,499913272,499913272,0,73,1353440,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499912146,499912146,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:38.730Z,0x0518,0x0104,49992,2,31,499912146,499912146,0,75,1353667,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:38.968Z,0x0518,0x0104,49992,2,31,499922283,499922283,0,77,1353840,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:39.200Z,0x0518,0x0104,49992,2,31,499922283,499922283,0,80,1354141,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499921157,499921157,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:39.441Z,0x0518,0x0104,49992,2,31,499921157,499921157,0,82,1354372,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499920030,499920030,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:39.677Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,84,1354545,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499920030,499920030,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:39.910Z,0x0518,0x0104,49992,2,31,499921157,499921157,0,87,1354847,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499921157,499921157,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:40.147Z,0x0518,0x0104,49992,2,31,499921157,499921157,0,89,1355080,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499921157,499921157,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:12:40.386Z,0x0518,0x0104,49992,2,31,499921157,499921157,0,91,1355250,0,0,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,6,1,10,0,499922283,499922283,0,0,0,0,0,0,0,0,0,0
