utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T15:11:14.554Z,0x0518,0x0104,49992,2,15,499923409,499923409,0,11,1269479,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:14.802Z,0x0518,0x0104,49992,2,15,499923409,499923409,0,18,1269729,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:15.054Z,0x0518,0x0104,49992,2,15,499922283,499922283,0,26,1269980,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499917778,499917778,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:15.300Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,34,1270230,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:15.540Z,0x0518,0x0104,49992,2,31,499922283,499922283,0,41,1270464,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:15.786Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,47,1270707,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:16.036Z,0x0518,0x0104,49992,2,31,499918904,499918904,0,53,1270957,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:16.280Z,0x0518,0x0104,49992,2,31,499920030,499920030,0,59,1271207,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499921157,499921157,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:16.523Z,0x0518,0x0104,49992,2,31,499921157,499921157,0,66,1271458,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499924536,499924536,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:16.766Z,0x0518,0x0104,49992,2,31,499924536,499924536,0,72,1271689,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499924536,499924536,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:17.014Z,0x0518,0x0104,49992,2,31,499924536,499924536,0,78,1271935,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:17.256Z,0x0518,0x0104,49992,2,31,499923409,499923409,0,84,1272184,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499923409,499923409,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:17.505Z,0x0518,0x0104,49992,2,31,499923409,499923409,0,91,1272435,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499925662,499925662,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:17.755Z,0x0518,0x0104,49992,2,31,499925662,499925662,0,99,1272685,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499926788,499926788,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:17.994Z,0x0518,0x0104,49992,2,31,499927915,499927915,0,106,1272918,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499930167,499930167,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:18.242Z,0x0518,0x0104,49992,2,31,499930167,499930167,0,112,1273161,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499926788,499926788,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:18.484Z,0x0518,0x0104,49992,2,31,499927915,499927915,0,118,1273412,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499929041,499929041,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:18.727Z,0x0518,0x0104,49992,2,31,499929041,499929041,0,125,1273662,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499926788,499926788,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:18.971Z,0x0518,0x0104,49992,2,31,499926788,499926788,0,131,1273892,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499925662,499925662,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:19.219Z,0x0518,0x0104,49992,2,31,499924536,499924536,0,137,1274139,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499927915,499927915,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:19.471Z,0x0518,0x0104,49992,2,31,499929041,499929041,0,143,1274388,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499929041,499929041,0,0,0,0,0,0,0,0,0,0
2026-09-23T15:11:19.719Z,0x0518,0x0104,49992,2,31,499927915,499927915,0,150,1274639,1,1,3,0,0,1,1,12,8,0,3,2,8,high,0x55B5,0,0,6,1,11,0,499925662,499925662,0,0,0,0,0,0,0,0,0,0
