utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T18:16:03.226Z,0x0519,0x0104,49988,2,31,499890746,499890746,0,9090,809716,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499891872,499891872,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:03.430Z,0x0519,0x0104,49988,2,31,499892998,499892998,0,9098,809916,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499892998,499892998,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:03.630Z,0x0519,0x0104,49988,2,31,499890746,499890746,0,9106,810116,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499889619,499889619,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:03.824Z,0x0519,0x0104,49988,2,31,499888493,499888493,0,9113,810292,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499887367,499887367,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:04.034Z,0x0519,0x0104,49988,2,31,499887367,499887367,0,9122,810517,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499889619,499889619,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:04.222Z,0x0519,0x0104,49988,2,31,499890746,499890746,0,9129,810692,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499890746,499890746,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:04.421Z,0x0519,0x0104,49988,2,31,499888493,499888493,0,9137,810892,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499888493,499888493,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:04.634Z,0x0519,0x0104,49988,2,31,499891872,499891872,0,9146,811118,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499891872,499891872,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:04.832Z,0x0519,0x0104,49988,2,31,499890746,499890746,0,9154,811318,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499890746,499890746,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:05.031Z,0x0519,0x0104,49988,2,31,499896377,499896377,0,9162,811518,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499896377,499896377,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:05.234Z,0x0519,0x0104,49988,2,31,499894125,499894125,0,9170,811719,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499892998,499892998,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:05.434Z,0x0519,0x0104,49988,2,31,499897504,499897504,0,9178,811919,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499895251,499895251,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:05.631Z,0x0519,0x0104,49988,2,31,499892998,499892998,0,9186,812119,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499891872,499891872,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:05.826Z,0x0519,0x0104,49988,2,31,499891872,499891872,0,9193,812294,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499891872,499891872,0,0,0,0,0,0,0,0,0,0
2026-09-23T18:16:06.035Z,0x0519,0x0104,49988,2,31,499891872,499891872,0,9202,812520,1,1,3,0,0,1,1,20,8,0,3,2,8,high,0x55B5,0,1,1,0,1,0,499894125,499894125,0,0,0,0,0,0,0,0,0,0
