utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T18:14:01.065Z,0x0519,0x0104,49989,2,31,499882861,499882861,0,4210,687541,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499882861,499882861,0,0,0,0,15,0,0,0,0,0
2026-09-23T18:14:01.266Z,0x0519,0x0104,49989,2,31,499883988,499883988,0,4218,687742,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499882861,499882861,0,0,0,0,15,0,0,0,0,0
2026-09-23T18:14:01.467Z,0x0519,0x0104,49989,2,31,499880609,499880609,0,4226,687942,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499880609,499880609,0,0,0,0,15,0,0,0,0,0
2026-09-23T18:14:01.682Z,0x0519,0x0104,49989,2,31,499876103,499876103,0,4234,688142,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499877230,499877230,0,0,0,0,15,0,0,0,0,0
2026-09-23T18:14:01.883Z,0x0519,0x0104,49989,2,31,499880609,499880609,0,4242,688344,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499880609,499880609,0,0,0,0,14,0,0,0,0,0
2026-09-23T18:14:02.068Z,0x0519,0x0104,49989,2,31,499882861,499882861,0,4250,688543,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499882861,499882861,0,0,0,0,14,0,0,0,0,0
2026-09-23T18:14:02.269Z,0x0519,0x0104,49989,2,31,499881735,499881735,0,4258,688743,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499881735,499881735,0,0,0,0,14,0,0,0,0,0
2026-09-23T18:14:02.468Z,0x0519,0x0104,49989,2,31,499883988,499883988,0,4266,688943,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499882861,499882861,0,0,0,0,14,0,0,0,0,0
2026-09-23T18:14:02.683Z,0x0519,0x0104,49989,2,31,499879482,499879482,0,4274,689144,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499879482,499879482,0,0,0,0,14,0,0,0,0,0
2026-09-23T18:14:02.882Z,0x0519,0x0104,49989,2,31,499883988,499883988,0,4282,689344,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499886240,499886240,0,0,0,0,13,0,0,0,0,0
2026-09-23T18:14:03.070Z,0x0519,0x0104,49989,2,31,499883988,499883988,0,4290,689544,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499881735,499881735,0,0,0,0,13,0,0,0,0,0
2026-09-23T18:14:03.269Z,0x0519,0x0104,49989,2,31,499881735,499881735,0,4298,689745,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499879482,499879482,0,0,0,0,13,0,0,0,0,0
2026-09-23T18:14:03.468Z,0x0519,0x0104,49989,2,31,499877230,499877230,0,4306,689945,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499879482,499879482,0,0,0,0,13,0,0,0,0,0
2026-09-23T18:14:03.683Z,0x0519,0x0104,49989,2,31,499881735,499881735,0,4314,690145,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499881735,499881735,0,0,0,0,13,0,0,0,0,0
2026-09-23T18:14:03.878Z,0x0519,0x0104,49989,2,31,499878356,499878356,0,4322,690345,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499876103,499876103,0,0,0,0,12,0,0,0,0,0
2026-09-23T18:14:04.068Z,0x0519,0x0104,49989,2,31,499873851,499873851,0,4330,690546,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499873851,499873851,0,0,0,0,12,0,0,0,0,0
2026-09-23T18:14:04.268Z,0x0519,0x0104,49989,2,31,499873851,499873851,0,4338,690746,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499873851,499873851,0,0,0,0,12,0,0,0,0,0
2026-09-23T18:14:04.469Z,0x0519,0x0104,49988,2,31,499873851,499873851,0,4346,690946,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499873851,499873851,0,0,0,0,12,0,0,0,0,0
2026-09-23T18:14:04.669Z,0x0519,0x0104,49988,2,31,499873851,499873851,0,4353,691121,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499873851,499873851,0,0,0,0,12,0,0,0,0,0
2026-09-23T18:14:04.881Z,0x0519,0x0104,49988,2,31,499878356,499878356,0,4362,691347,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499879482,499879482,0,0,0,0,11,0,0,0,0,0
2026-09-23T18:14:05.069Z,0x0519,0x0104,49988,2,31,499879482,499879482,0,4370,691547,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499881735,499881735,0,0,0,0,11,0,0,0,0,0
2026-09-23T18:14:05.271Z,0x0519,0x0104,49988,2,31,499881735,499881735,0,4378,691747,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499881735,499881735,0,0,0,0,11,0,0,0,0,0
2026-09-23T18:14:05.467Z,0x0519,0x0104,49988,2,31,499881735,499881735,0,4386,691948,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499881735,499881735,0,0,0,0,11,0,0,0,0,0
2026-09-23T18:14:05.687Z,0x0519,0x0104,49988,2,31,499881735,499881735,0,4394,692148,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499883988,499883988,0,0,0,0,11,0,0,0,0,0
2026-09-23T18:14:05.864Z,0x0519,0x0104,49988,2,31,499879482,499879482,0,4401,692323,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499880609,499880609,0,0,0,0,10,0,0,0,0,0
2026-09-23T18:14:06.071Z,0x0519,0x0104,49988,2,31,499886240,499886240,0,4410,692548,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499886240,499886240,0,0,0,0,10,0,0,0,0,0
2026-09-23T18:14:06.273Z,0x0519,0x0104,49988,2,31,499881735,499881735,0,4418,692749,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499881735,499881735,0,0,0,0,10,0,0,0,0,0
2026-09-23T18:14:06.470Z,0x0519,0x0104,49988,2,31,499881735,499881735,0,4426,692949,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499880609,499880609,0,0,0,0,10,0,0,0,0,0
2026-09-23T18:14:06.671Z,0x0519,0x0104,49988,2,31,499880609,499880609,0,4434,693149,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499879482,499879482,0,0,0,0,10,0,0,0,0,0
2026-09-23T18:14:06.880Z,0x0519,0x0104,49988,2,31,499878356,499878356,0,4442,693350,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499876103,499876103,0,0,0,0,9,0,0,0,0,0
2026-09-23T18:14:07.070Z,0x0519,0x0104,49988,2,31,499873851,499873851,0,4450,693550,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499874977,499874977,0,0,0,0,9,0,0,0,0,0
2026-09-23T18:14:07.273Z,0x0519,0x0104,49988,2,31,499874977,499874977,0,4458,693750,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499876103,499876103,0,0,0,0,9,0,0,0,0,0
2026-09-23T18:14:07.471Z,0x0519,0x0104,49988,2,31,499873851,499873851,0,4466,693950,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499871598,499871598,0,0,0,0,9,0,0,0,0,0
2026-09-23T18:14:07.667Z,0x0519,0x0104,49988,2,31,499876103,499876103,0,4473,694126,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499876103,499876103,0,0,0,0,9,0,0,0,0,0
2026-09-23T18:14:07.873Z,0x0519,0x0104,49988,2,31,499880609,499880609,0,4482,694352,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499880609,499880609,0,0,0,0,8,0,0,0,0,0
2026-09-23T18:14:08.078Z,0x0519,0x0104,49988,2,31,499880609,499880609,0,4490,694552,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499880609,499880609,0,0,0,0,8,0,0,0,0,0
2026-09-23T18:14:08.265Z,0x0519,0x0104,49988,2,31,499882861,499882861,0,4497,694726,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499882861,499882861,0,0,0,0,8,0,0,0,0,0
2026-09-23T18:14:08.478Z,0x0519,0x0104,49988,2,31,499880609,499880609,0,4506,694952,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499878356,499878356,0,0,0,0,8,0,0,0,0,0
2026-09-23T18:14:08.674Z,0x0519,0x0104,49988,2,31,499877230,499877230,0,4514,695152,1,1,3,0,0,1,1,19,8,0,3,2,8,high,0x55B5,0,2,2,0,1,0,499877230,499877230,0,0,0,0,8,0,0,0,0,0
