utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T19:17:54.798Z,0x0519,0x0104,49993,2,31,499932420,499932420,0,833,84246,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:54.905Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,834,84346,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.010Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,835,84446,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.106Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,836,84546,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.209Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,837,84646,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.305Z,0x0519,0x0104,49993,2,31,499935799,499935799,0,838,84747,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.404Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,839,84847,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.510Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,840,84947,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.605Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,841,85047,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:17:55.709Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,842,85147,0,0,3,0,0,1,0,8,8,0,3,2,8,high,0x55B5,0,0,0,0,0,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
