utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T19:19:06.691Z,0x0519,0x0104,49993,2,31,499935799,499935799,0,80,156134,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:06.776Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,84,156234,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:06.889Z,0x0519,0x0104,49993,2,31,499938052,499938052,0,88,156334,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499938052,499938052,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:06.990Z,0x0519,0x0104,49993,2,31,499938052,499938052,0,92,156434,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499938052,499938052,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.076Z,0x0519,0x0104,49993,2,31,499938052,499938052,0,96,156534,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499938052,499938052,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.190Z,0x0519,0x0104,49993,2,31,499938052,499938052,0,100,156635,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.275Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,104,156735,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499933546,499933546,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.385Z,0x0519,0x0104,49993,2,31,499932420,499932420,0,108,156835,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499931294,499931294,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.484Z,0x0519,0x0104,49993,2,31,499931294,499931294,0,112,156935,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499931294,499931294,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.577Z,0x0519,0x0104,49993,2,31,499931294,499931294,0,116,157035,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499932420,499932420,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.691Z,0x0519,0x0104,49993,2,31,499935799,499935799,0,120,157135,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.777Z,0x0519,0x0104,49993,2,31,499938052,499938052,0,124,157235,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499938052,499938052,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.890Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,128,157336,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:07.994Z,0x0519,0x0104,49993,2,31,499935799,499935799,0,132,157436,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:08.086Z,0x0519,0x0104,49993,2,31,499935799,499935799,0,136,157536,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:08.184Z,0x0519,0x0104,49993,2,31,499935799,499935799,0,140,157636,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:08.292Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,144,157737,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499933546,499933546,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:08.392Z,0x0519,0x0104,49993,2,31,499933546,499933546,0,148,157836,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499933546,499933546,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:08.478Z,0x0519,0x0104,49993,2,31,499933546,499933546,0,152,157937,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499933546,499933546,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:19:08.587Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,156,158037,1,1,3,0,0,1,1,17,8,0,3,2,8,high,0x55B5,0,0,0,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
