utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T19:21:30.589Z,0x0519,0x0104,49993,2,15,499931294,499931294,0,14,300016,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499931294,499931294,0,0,0,0,14,0,0,0,0,0
2026-09-23T19:21:30.790Z,0x0519,0x0104,49993,2,15,499933546,499933546,0,16,300216,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499933546,499933546,0,0,0,0,14,0,0,0,0,0
2026-09-23T19:21:30.993Z,0x0519,0x0104,49994,2,31,499939178,499939178,0,18,300417,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499939178,499939178,0,0,0,0,14,0,0,0,0,0
2026-09-23T19:21:31.188Z,0x0519,0x0104,49994,2,31,499936925,499936925,0,20,300617,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499936925,499936925,0,0,0,0,14,0,0,0,0,0
2026-09-23T19:21:31.380Z,0x0519,0x0104,49994,2,31,499935799,499935799,0,22,300817,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499935799,499935799,0,0,0,0,13,0,0,0,0,0
2026-09-23T19:21:31.585Z,0x0519,0x0104,49994,2,31,499936925,499936925,0,24,301018,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499936925,499936925,0,0,0,0,13,0,0,0,0,0
2026-09-23T19:21:31.787Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,26,301218,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499934673,499934673,0,0,0,0,13,0,0,0,0,0
2026-09-23T19:21:31.985Z,0x0519,0x0104,49994,2,31,499936925,499936925,0,28,301418,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499936925,499936925,0,0,0,0,13,0,0,0,0,0
2026-09-23T19:21:32.177Z,0x0519,0x0104,49994,2,31,499933546,499933546,0,30,301619,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499933546,499933546,0,0,0,0,13,0,0,0,0,0
2026-09-23T19:21:32.385Z,0x0519,0x0104,49994,2,31,499930167,499930167,0,32,301819,0,0,3,0,0,1,1,24,8,0,3,2,8,high,0x55B5,0,2,2,0,5,0,499930167,499930167,0,0,0,0,12,0,0,0,0,0
