utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T19:24:56.075Z,362676078000000,0x0519,0x0104,49994,2,31,499941431,499941431,0,-487932,-487913,985,505484,1,0,0,0,3,4,0,0,1,33,8,0,1,1,0,499943683,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.173Z,362676187000000,0x0519,0x0104,49994,2,31,499943683,499943683,0,-487938,-487915,986,505585,1,0,0,0,3,4,0,0,1,33,8,0,1,1,0,499945936,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.272Z,362676281000000,0x0519,0x0104,49995,2,31,499945936,499945936,0,-487920,-487917,987,505685,1,0,0,0,3,4,0,0,1,33,8,0,1,1,0,499945936,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.372Z,362676375000000,0x0519,0x0104,49995,2,31,499945936,499945936,0,-487913,-487917,988,505785,1,0,0,0,3,4,0,0,1,33,8,0,1,1,0,499944810,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.468Z,362676468000000,0x0519,0x0104,49994,2,31,499944810,499944810,0,-487908,-487916,989,505885,1,0,0,0,3,4,0,0,1,33,8,0,1,1,0,499943683,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.584Z,362676593000000,0x0519,0x0104,49994,2,31,499943683,499943683,0,-487905,-487915,990,505985,1,0,0,0,3,4,0,0,1,33,8,0,1,1,0,499942557,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.684Z,362676687000000,0x0519,0x0104,49994,2,31,499942557,499942557,0,-487915,-487914,991,506085,1,0,0,0,3,4,0,0,1,33,8,0,1,1,0,499942557,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.784Z,362676796000000,0x0519,0x0104,49994,2,31,499942557,499942557,0,-487932,-487914,992,506185,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.885Z,362676890000000,0x0519,0x0104,49994,2,31,499942557,499942557,0,-487909,-487914,993,506286,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:56.985Z,362676984000000,0x0519,0x0104,49994,2,31,499941431,499941431,0,-487901,-487913,994,506386,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.099Z,362677109000000,0x0519,0x0104,49994,2,31,499940304,499940304,0,-487928,-487912,995,506486,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.200Z,362677203000000,0x0519,0x0104,49994,2,31,499941431,499941431,0,-487921,-487913,996,506588,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.302Z,362677312000000,0x0519,0x0104,49994,2,31,499942557,499942557,0,-487909,-487914,997,506687,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.404Z,362677406000000,0x0519,0x0104,49994,2,31,499942557,499942557,0,-487911,-487914,998,506789,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.504Z,362677515000000,0x0519,0x0104,49994,2,31,499942557,499942557,0,-487914,-487914,999,506892,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.604Z,362677609000000,0x0519,0x0104,49994,2,31,499942557,499942557,0,-487910,-487914,1000,506987,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.705Z,362677718000000,0x0519,0x0104,49994,2,31,499941431,499941431,0,-487904,-487913,1001,507087,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.806Z,362677812000000,0x0519,0x0104,49994,2,31,499941431,499941431,0,-487920,-487913,1002,507187,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:57.905Z,362677906000000,0x0519,0x0104,49994,2,31,499941431,499941431,0,-487913,-487913,1003,507287,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.017Z,362678031000000,0x0519,0x0104,49994,2,31,499941431,499941431,0,-487888,-487913,1004,507387,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.113Z,362678125000000,0x0519,0x0104,49994,2,31,499939178,499939178,0,-487898,-487911,1005,507487,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.207Z,362678218000000,0x0519,0x0104,49994,2,31,499936925,499936925,0,-487896,-487909,1006,507588,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.305Z,362678312000000,0x0519,0x0104,49994,2,31,499935799,499935799,0,-487898,-487908,1007,507688,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.407Z,362678406000000,0x0519,0x0104,49994,2,31,499934673,499934673,0,-487925,-487907,1008,507788,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.516Z,362678515000000,0x0519,0x0104,49994,2,31,499936925,499936925,0,-487931,-487909,1009,507888,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.629Z,362678640000000,0x0519,0x0104,49994,2,31,499938052,499938052,0,-487898,-487910,1011,508088,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.727Z,362678734000000,0x0519,0x0104,49994,2,31,499938052,499938052,0,-487907,-487910,1012,508188,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
2026-09-23T19:24:58.828Z,362678828000000,0x0519,0x0104,49994,2,31,499938052,499938052,0,-487921,-487910,1013,508289,1,0,0,0,3,4,0,0,1,33,8,0,1,2,1,499940000,499940000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
