utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,shadow_static_class,shadow_static_reason,shadow_dynamic_class,shadow_dynamic_reason,shadow_valid,low_limit_ug,high_limit_ug,guarded_mode,guarded_generation,guarded_reason,formal_state,guarded_armed,green,yellow,red,internal_buzzer,external_buzzer,r5_application,r5_mode,r5_state,r5_offset_ug,r5_reference_ug,r5_rebase
2026-09-23T19:26:30.023Z,362770031000000,0x0519,0x0104,49993,2,31,499933546,499933546,0,-487904,-487906,40,599475,1,0,1,1,3,4,0,0,1,35,8,0,1,1,0,499933546,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.122Z,362770125000000,0x0519,0x0104,49993,2,31,499933546,499933546,0,-487911,-487906,44,599575,1,0,1,1,3,4,0,0,1,35,8,0,1,1,0,499934673,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.219Z,362770218000000,0x0519,0x0104,49993,2,31,499936925,499936925,0,-487963,-487909,48,599675,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.335Z,362770343000000,0x0519,0x0104,49993,2,31,499938052,499938052,0,-487912,-487910,53,599800,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.436Z,362770437000000,0x0519,0x0104,49993,2,31,499938052,499938052,0,-487891,-487910,57,599901,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.537Z,362770546000000,0x0519,0x0104,49993,2,31,499936925,499936925,0,-487894,-487909,61,600001,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.637Z,362770640000000,0x0519,0x0104,49993,2,31,499940304,499940304,0,-487935,-487912,65,600101,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.736Z,362770750000000,0x0519,0x0104,49993,2,31,499936925,499936925,0,-487870,-487909,69,600201,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.837Z,362770843000000,0x0519,0x0104,49993,2,31,499936925,499936925,0,-487876,-487909,73,600301,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:30.937Z,362770937000000,0x0519,0x0104,49993,2,31,499940304,499940304,0,-487931,-487912,77,600401,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.050Z,362771062000000,0x0519,0x0104,49993,2,31,499940304,499940304,0,-487912,-487912,81,600501,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.148Z,362771156000000,0x0519,0x0104,49993,2,31,499943683,499943683,0,-487913,-487915,85,600602,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.244Z,362771250000000,0x0519,0x0104,49993,2,31,499941431,499941431,0,-487865,-487913,89,600702,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.347Z,362771359000000,0x0519,0x0104,49993,2,31,499942557,499942557,0,-487886,-487914,93,600802,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.435Z,362771437000000,0x0519,0x0104,49993,2,31,499942557,499942557,0,-487919,-487914,96,600877,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.536Z,362771546000000,0x0519,0x0104,49993,2,31,499939178,499939178,0,-487920,-487911,101,601002,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.645Z,362771656000000,0x0519,0x0104,49993,2,31,499936925,499936925,0,-487896,-487909,105,601102,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.723Z,362771734000000,0x0519,0x0104,49993,2,31,499934673,499934673,0,-487887,-487907,108,601177,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.822Z,362771828000000,0x0519,0x0104,49993,2,31,499934673,499934673,0,-487906,-487907,112,601278,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:31.920Z,362771921000000,0x0519,0x0104,49993,2,31,499934673,499934673,0,-487917,-487907,116,601378,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.036Z,362772046000000,0x0519,0x0104,49993,2,31,499933546,499933546,0,-487900,-487906,121,601503,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.137Z,362772140000000,0x0519,0x0104,49993,2,31,499931294,499931294,0,-487912,-487904,125,601603,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.237Z,362772250000000,0x0519,0x0104,49993,2,31,499927915,499927915,0,-487875,-487901,129,601703,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.339Z,362772343000000,0x0519,0x0104,49993,2,31,499924536,499924536,0,-487841,-487898,133,601803,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.445Z,362772453000000,0x0519,0x0104,49993,2,31,499918904,499918904,0,-487862,-487893,137,601904,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.545Z,362772546000000,0x0519,0x0104,49993,2,31,499917778,499917778,0,-487881,-487892,141,602004,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.645Z,362772656000000,0x0519,0x0104,49993,2,31,499918904,499918904,0,-487862,-487893,145,602104,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.747Z,362772750000000,0x0519,0x0104,49993,2,31,499916651,499916651,0,-487868,-487891,149,602204,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.839Z,362772843000000,0x0519,0x0104,49993,2,31,499916651,499916651,0,-487887,-487891,153,602304,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:32.951Z,362772953000000,0x0519,0x0104,49993,2,31,499918904,499918904,0,-487889,-487893,157,602404,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.063Z,362773062000000,0x0519,0x0104,49993,2,31,499918904,499918904,0,-487859,-487893,162,602529,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.177Z,362773187000000,0x0519,0x0104,49993,2,31,499918904,499918904,0,-487878,-487893,166,602630,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.275Z,362773281000000,0x0519,0x0104,49993,2,31,499918904,499918904,0,-487882,-487893,170,602730,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.373Z,362773375000000,0x0519,0x0104,49993,2,31,499917778,499917778,0,-487901,-487892,174,602830,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.472Z,362773484000000,0x0519,0x0104,49993,2,31,499916651,499916651,0,-487859,-487891,178,602930,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.573Z,362773578000000,0x0519,0x0104,49993,2,31,499915525,499915525,0,-487875,-487890,182,603030,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.673Z,362773687000000,0x0519,0x0104,49993,2,31,499915525,499915525,0,-487883,-487890,186,603130,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.772Z,362773781000000,0x0519,0x0104,49993,2,31,499917778,499917778,0,-487913,-487892,190,603230,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.873Z,362773875000000,0x0519,0x0104,49993,2,31,499917778,499917778,0,-487901,-487892,194,603331,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
2026-09-23T19:26:33.975Z,362773984000000,0x0519,0x0104,49993,2,31,499918904,499918904,0,-487914,-487893,198,603431,1,0,1,1,3,4,0,0,1,35,8,0,1,2,1,499930000,499930000,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
