utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T19:28:40.026Z,0x0519,0x0104,49994,2,31,499939178,499939178,0,39,729514,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499938052,499938052,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:40.226Z,0x0519,0x0104,49993,2,31,499934673,499934673,0,47,729714,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:40.429Z,0x0519,0x0104,49993,2,31,499932420,499932420,0,55,729914,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499932420,499932420,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:40.627Z,0x0519,0x0104,49993,2,31,499932420,499932420,0,63,730115,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499932420,499932420,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:40.824Z,0x0519,0x0104,49993,2,31,499933546,499933546,0,71,730316,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:41.026Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,79,730515,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:41.229Z,0x0519,0x0104,49993,2,31,499940304,499940304,0,87,730715,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499939178,499939178,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:41.429Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,95,730916,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:41.627Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,103,731116,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499938052,499938052,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:41.821Z,0x0519,0x0104,49993,2,31,499940304,499940304,0,111,731316,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499940304,499940304,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:42.029Z,0x0519,0x0104,49993,2,31,499940304,499940304,0,119,731516,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499940304,499940304,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:28:42.230Z,0x0519,0x0104,49993,2,31,499936925,499936925,0,127,731717,1,1,3,0,0,1,1,40,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
