utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T19:41:15.955Z,0x0519,0x0104,49993,2,15,499930167,499930167,0,16,1485381,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499930167,499930167,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.039Z,0x0519,0x0104,49993,2,15,499930167,499930167,0,17,1485481,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499968463,499968463,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.145Z,0x0519,0x0104,49997,2,15,499968463,499968463,0,18,1485581,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499957199,499957199,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.241Z,0x0519,0x0104,49996,2,15,499957199,499957199,0,19,1485682,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.344Z,0x0519,0x0104,49995,2,31,499949315,499949315,0,20,1485782,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499952694,499952694,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.441Z,0x0519,0x0104,49995,2,31,499952694,499952694,0,21,1485882,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499947062,499947062,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.545Z,0x0519,0x0104,49995,2,31,499947062,499947062,0,22,1485982,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.656Z,0x0519,0x0104,49994,2,31,499935799,499935799,0,23,1486084,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.756Z,0x0519,0x0104,49994,2,31,499936925,499936925,0,24,1486183,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:41:16.845Z,0x0519,0x0104,49994,2,31,499936925,499936925,0,25,1486283,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499918904,499918904,0,0,0,0,0,0,0,0,0,0
