utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-23T19:32:47.032Z,0x0519,0x0104,49994,2,15,499943683,499943683,0,16,976536,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499943683,499943683,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.119Z,0x0519,0x0104,49994,2,15,499943683,499943683,0,17,976636,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499931294,499931294,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.225Z,0x0519,0x0104,49994,2,31,499943683,499943683,0,18,976736,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499943683,499943683,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.324Z,0x0519,0x0104,49995,2,31,499947062,499947062,0,19,976836,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499947062,499947062,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.424Z,0x0519,0x0104,49995,2,31,499952694,499952694,0,20,976936,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499952694,499952694,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.520Z,0x0519,0x0104,49995,2,31,499952694,499952694,0,21,977037,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.620Z,0x0519,0x0104,49994,2,31,499936925,499936925,0,22,977137,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499956073,499956073,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.726Z,0x0519,0x0104,49994,2,31,499942557,499942557,0,23,977237,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499942557,499942557,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.824Z,0x0519,0x0104,49994,2,31,499940304,499940304,0,24,977337,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499940304,499940304,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:47.925Z,0x0519,0x0104,49993,2,31,499929041,499929041,0,25,977437,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499929041,499929041,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.019Z,0x0519,0x0104,49993,2,31,499929041,499929041,0,26,977537,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499961705,499961705,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.119Z,0x0519,0x0104,49996,2,31,499961705,499961705,0,27,977637,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499950441,499950441,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.225Z,0x0519,0x0104,49995,2,31,499953820,499953820,0,28,977738,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499953820,499953820,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.324Z,0x0519,0x0104,49995,2,31,499953820,499953820,0,29,977839,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499963957,499963957,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.429Z,0x0519,0x0104,49995,2,31,499958326,499958326,0,30,977938,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499958326,499958326,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.525Z,0x0519,0x0104,49995,2,31,499954947,499954947,0,31,978038,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499954947,499954947,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.625Z,0x0519,0x0104,49995,2,31,499943683,499943683,0,32,978138,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499943683,499943683,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.731Z,0x0519,0x0104,49995,2,31,499948189,499948189,0,33,978238,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499948189,499948189,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.829Z,0x0519,0x0104,49995,2,31,499949315,499949315,0,34,978338,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:48.914Z,0x0519,0x0104,49995,2,31,499949315,499949315,0,35,978439,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.024Z,0x0519,0x0104,49995,2,31,499949315,499949315,0,36,978539,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.125Z,0x0519,0x0104,49995,2,31,499936925,499936925,0,37,978639,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499936925,499936925,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.231Z,0x0519,0x0104,49995,2,31,499940304,499940304,0,38,978739,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499940304,499940304,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.331Z,0x0519,0x0104,49995,2,31,499924536,499924536,0,39,978839,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499924536,499924536,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.418Z,0x0519,0x0104,49995,2,31,499924536,499924536,0,40,978939,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499922283,499922283,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.532Z,0x0519,0x0104,49995,2,31,499934673,499934673,0,41,979039,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.619Z,0x0519,0x0104,49995,2,31,499934673,499934673,0,42,979140,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.726Z,0x0519,0x0104,49995,2,31,499949315,499949315,0,43,979241,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499940304,499940304,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.830Z,0x0519,0x0104,49995,2,31,499940304,499940304,0,44,979341,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499942557,499942557,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:49.920Z,0x0519,0x0104,49995,2,31,499942557,499942557,0,45,979440,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.032Z,0x0519,0x0104,49995,2,31,499952694,499952694,0,46,979540,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499952694,499952694,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.120Z,0x0519,0x0104,49995,2,31,499952694,499952694,0,47,979640,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499948189,499948189,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.229Z,0x0519,0x0104,49995,2,31,499940304,499940304,0,48,979740,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499940304,499940304,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.331Z,0x0519,0x0104,49995,2,31,499935799,499935799,0,49,979840,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499935799,499935799,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.420Z,0x0519,0x0104,49995,2,31,499935799,499935799,0,50,979941,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499943683,499943683,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.532Z,0x0519,0x0104,49995,2,31,499947062,499947062,0,51,980041,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499947062,499947062,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.620Z,0x0519,0x0104,49995,2,31,499947062,499947062,0,52,980141,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499934673,499934673,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.731Z,0x0519,0x0104,49995,2,31,499934673,499934673,0,53,980243,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499931294,499931294,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.831Z,0x0519,0x0104,49995,2,31,499933546,499933546,0,54,980341,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499933546,499933546,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:50.920Z,0x0519,0x0104,49995,2,31,499933546,499933546,0,55,980441,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:51.031Z,0x0519,0x0104,49995,2,31,499945936,499945936,0,56,980541,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499945936,499945936,0,0,0,0,0,0,0,0,0,0
2026-09-23T19:32:51.120Z,0x0519,0x0104,49995,2,31,499945936,499945936,0,57,980642,0,0,3,0,0,1,1,43,8,0,3,2,8,high,0x55B5,1,1,1,0,5,0,499949315,499949315,0,0,0,0,0,0,0,0,0,0
