utc,firmware,map,display_count,display_decimals,status_flags,net_mass_ug,gross_mass_ug,tare_mass_ug,sample_sequence,uptime_ms,profile,sample_rate,gain,overrun_count,storage_state,power_safe,dirty,revision,saved_revision,fault_mask,persistent_format,active_slot,storage_sequence,word_order,signature,application,mode,state,limited,reason,offset_ug,uncompensated_gross_ug,corrected_gross_ug,reference_ug,current_window_ug,reference_error_ug,correction_rate_milli_ug_per_s,holdoff_remaining,reference_fill,observation_fill,automatic_rebase_count,evaluation_count,save_request_count_low
2026-09-24T13:15:06.384Z,0x051A,0x0104,50008,2,15,500079970,500079970,0,14,175799,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500079970,500079970,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:06.485Z,0x051A,0x0104,50008,2,15,500084475,500084475,0,15,175899,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500084475,500084475,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:06.577Z,0x051A,0x0104,50009,2,15,500086728,500086728,0,16,175999,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500086728,500086728,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:06.688Z,0x051A,0x0104,50009,2,15,500085601,500085601,0,17,176099,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500085601,500085601,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:06.774Z,0x051A,0x0104,50008,2,31,500084475,500084475,0,18,176199,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500084475,500084475,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:06.884Z,0x051A,0x0104,50008,2,31,500082222,500082222,0,19,176300,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500082222,500082222,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:06.986Z,0x051A,0x0104,50008,2,31,500083349,500083349,0,20,176400,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500083349,500083349,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.076Z,0x051A,0x0104,50008,2,31,500083349,500083349,0,21,176500,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500083349,500083349,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.188Z,0x051A,0x0104,50008,2,31,500084475,500084475,0,22,176600,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500084475,500084475,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.276Z,0x051A,0x0104,50008,2,31,500084475,500084475,0,23,176700,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500084475,500084475,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.387Z,0x051A,0x0104,50008,2,31,500084475,500084475,0,24,176800,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500084475,500084475,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.485Z,0x051A,0x0104,50008,2,31,500083349,500083349,0,25,176900,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500083349,500083349,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.576Z,0x051A,0x0104,50008,2,31,500082222,500082222,0,26,177001,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500082222,500082222,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.688Z,0x051A,0x0104,50008,2,31,500081096,500081096,0,27,177101,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500081096,500081096,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.774Z,0x051A,0x0104,50008,2,31,500081096,500081096,0,28,177201,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500081096,500081096,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.884Z,0x051A,0x0104,50008,2,31,500081096,500081096,0,29,177301,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500081096,500081096,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:07.983Z,0x051A,0x0104,50008,2,31,500082222,500082222,0,30,177401,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500082222,500082222,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.089Z,0x051A,0x0104,50008,2,31,500084475,500084475,0,31,177501,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500084475,500084475,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.186Z,0x051A,0x0104,50008,2,31,500085601,500085601,0,32,177601,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500085601,500085601,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.288Z,0x051A,0x0104,50008,2,31,500087854,500087854,0,33,177702,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500087854,500087854,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.384Z,0x051A,0x0104,50008,2,31,500088980,500088980,0,34,177802,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500088980,500088980,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.484Z,0x051A,0x0104,50008,2,31,500088980,500088980,0,35,177902,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500088980,500088980,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.591Z,0x051A,0x0104,50008,2,31,500088980,500088980,0,36,178002,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500088980,500088980,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.689Z,0x051A,0x0104,50008,2,31,500088980,500088980,0,37,178102,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500088980,500088980,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.777Z,0x051A,0x0104,50008,2,31,500087854,500087854,0,38,178202,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500087854,500087854,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.886Z,0x051A,0x0104,50008,2,31,500085601,500085601,0,39,178302,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500085601,500085601,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:08.987Z,0x051A,0x0104,50008,2,31,500083349,500083349,0,40,178403,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500083349,500083349,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:09.080Z,0x051A,0x0104,50008,2,31,500083349,500083349,0,41,178503,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500083349,500083349,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:09.183Z,0x051A,0x0104,50008,2,31,500081096,500081096,0,42,178603,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500081096,500081096,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:09.287Z,0x051A,0x0104,50008,2,31,500079970,500079970,0,43,178703,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500079970,500079970,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:09.385Z,0x051A,0x0104,50008,2,31,500078843,500078843,0,44,178803,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500078843,500078843,0,0,0,0,0,0,0,0,0,0
2026-09-24T13:15:09.485Z,0x051A,0x0104,50008,2,31,500077717,500077717,0,45,178903,0,0,3,0,0,1,1,18,14,0,3,2,14,high,0x55B5,1,1,1,0,5,0,500077717,500077717,0,0,0,0,0,0,0,0,0,0
