utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-24T18:50:07.759Z,19110421000000,0x051C,0x0104,-2,2,63,-20274,-20274,0,-44019,-44029,1139,114901,1,0,0,0,3,4,0,0,0,8,8,0,1,1139,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-20274,-31537,0,0,83,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-20200,114901
2026-09-24T18:50:08.235Z,19110906000000,0x051C,0x0104,-2,2,63,-19148,-19148,0,-44033,-44030,1144,115402,1,0,0,0,3,4,0,0,0,8,8,0,1,1144,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-19148,-15769,0,0,83,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-19100,115402
2026-09-24T18:50:08.756Z,19111421000000,0x051C,0x0104,-2,2,63,-23653,-23653,0,-44007,-44026,1149,115903,1,0,0,0,3,4,0,0,0,8,8,0,1,1149,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-23653,-45053,0,0,83,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-23600,115903
2026-09-24T18:50:09.233Z,19111906000000,0x051C,0x0104,-2,2,63,-22527,-22527,0,-44051,-44027,1154,116404,1,0,0,0,3,4,0,0,0,8,8,0,1,1154,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-22527,4505,0,0,84,2,2,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-22500,116404
2026-09-24T18:50:09.749Z,19112421000000,0x051C,0x0104,-2,2,63,-15769,-15769,0,-44039,-44033,1159,116905,1,0,0,0,3,4,0,0,0,8,8,0,1,1159,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-15769,-9011,0,0,85,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-15700,116905
2026-09-24T18:50:10.225Z,19112890000000,0x051C,0x0104,-2,2,63,-10137,-10137,0,-44031,-44038,1164,117405,1,0,0,0,3,4,0,0,0,8,8,0,1,1164,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-10137,-18021,0,0,85,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-10100,117405
2026-09-24T18:50:10.760Z,19113421000000,0x051C,0x0104,-2,2,63,-12390,-12390,0,-44031,-44036,1169,117906,1,0,0,0,3,4,0,0,0,8,8,0,1,1169,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-12390,-18021,0,0,85,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-12300,117906
2026-09-24T18:50:11.234Z,19113906000000,0x051C,0x0104,-2,2,63,-13516,-13516,0,-44031,-44035,1174,118407,1,0,0,0,3,4,0,0,0,8,8,0,1,1174,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-13516,-18021,0,0,85,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-13500,118407
2026-09-24T18:50:11.755Z,19114421000000,0x051C,0x0104,-2,2,63,-13516,-13516,0,-44039,-44035,1179,118908,1,0,0,0,3,4,0,0,0,8,8,0,1,1179,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-13516,-9011,0,0,85,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-13500,118908
2026-09-24T18:50:12.231Z,19114906000000,0x051C,0x0104,-2,2,63,-18021,-18021,0,-44022,-44031,1184,119408,1,0,0,0,3,4,0,0,0,8,8,0,1,1184,2,1,-20000,-20000,0,0,0,0,0,0,0,0,0,0,0x5AA5,-18021,-28158,0,0,85,2,2,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,-18000,119408
