utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-24T19:23:33.445Z,21116109000000,0x051C,0x0104,2,2,63,18021,18021,0,-44009,-44019,4814,1325879,1,0,0,0,3,4,0,0,0,14,14,0,1,4814,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,18021,6758,0,0,199,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,18000,1325879
2026-09-24T19:23:33.921Z,21116593000000,0x051C,0x0104,2,2,63,12390,12390,0,-44002,-44014,4819,1326380,1,0,0,0,3,4,0,0,0,14,14,0,1,4819,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,12390,-1126,0,0,200,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,5,0,0,12300,1326380
2026-09-24T19:23:34.436Z,21117109000000,0x051C,0x0104,2,2,63,15769,15769,0,-44003,-44017,4824,1326881,1,0,0,0,3,4,0,0,0,14,14,0,1,4824,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,15769,0,0,0,201,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,15700,1326881
2026-09-24T19:23:34.910Z,21117578000000,0x051C,0x0104,2,2,63,13516,13516,0,-43997,-44015,4829,1327382,1,0,0,0,3,4,0,0,0,14,14,0,1,4829,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,13516,-6758,0,0,202,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,5,0,0,13500,1327382
2026-09-24T19:23:35.444Z,21118109000000,0x051C,0x0104,2,2,63,11263,11263,0,-43984,-44013,4834,1327882,1,0,0,0,3,4,0,0,0,14,14,0,1,4834,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,11263,-21400,0,0,204,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,5,0,0,11200,1327882
2026-09-24T19:23:35.920Z,21118593000000,0x051C,0x0104,2,2,63,15769,15769,0,-44029,-44017,4839,1328383,1,0,0,0,3,4,0,0,0,14,14,0,1,4839,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,15769,29285,0,0,205,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,15700,1328383
2026-09-24T19:23:36.438Z,21119109000000,0x051C,0x0104,2,2,63,22527,22527,0,-44022,-44023,4844,1328884,1,0,0,0,3,4,0,0,0,14,14,0,1,4844,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,22527,21400,0,0,205,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,22500,1328884
2026-09-24T19:23:36.912Z,21119578000000,0x051C,0x0104,2,2,63,19148,19148,0,-44022,-44020,4849,1329385,1,0,0,0,3,4,0,0,0,14,14,0,1,4849,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,19148,21400,0,0,205,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,19100,1329385
2026-09-24T19:23:37.445Z,21120109000000,0x051C,0x0104,2,2,63,11263,11263,0,-44007,-44013,4854,1329886,1,0,0,0,3,4,0,0,0,14,14,0,1,4854,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,11263,4505,0,0,207,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,11200,1329886
2026-09-24T19:23:37.920Z,21120593000000,0x051C,0x0104,2,2,63,12390,12390,0,-44004,-44014,4859,1330386,1,0,0,0,3,4,0,0,0,14,14,0,1,4859,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,12390,1126,0,0,207,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,12300,1330386
2026-09-24T19:23:38.435Z,21121109000000,0x051C,0x0104,2,2,63,10137,10137,0,-44004,-44012,4864,1330887,1,0,0,0,3,4,0,0,0,14,14,0,1,4864,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,10137,1126,0,0,207,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,10100,1330887
2026-09-24T19:23:38.910Z,21121578000000,0x051C,0x0104,2,2,63,16895,16895,0,-44026,-44018,4869,1331388,1,0,0,0,3,4,0,0,0,14,14,0,1,4869,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,16895,25906,0,0,207,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,16800,1331388
2026-09-24T19:23:39.443Z,21122109000000,0x051C,0x0104,2,2,63,13516,13516,0,-44003,-44015,4874,1331889,1,0,0,0,3,4,0,0,0,14,14,0,1,4874,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,13516,0,0,0,207,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,13500,1331889
2026-09-24T19:23:39.920Z,21122593000000,0x051C,0x0104,2,2,63,14642,14642,0,-44005,-44016,4879,1332390,1,0,0,0,3,4,0,0,0,14,14,0,1,4879,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,14642,2253,0,0,207,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,14600,1332390
2026-09-24T19:23:40.437Z,21123109000000,0x051C,0x0104,2,2,63,15769,15769,0,-44021,-44017,4884,1332891,1,0,0,0,3,4,0,0,0,14,14,0,1,4884,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,15769,20274,0,0,207,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,15700,1332891
2026-09-24T19:23:40.912Z,21123578000000,0x051C,0x0104,2,2,63,11263,11263,0,-44001,-44013,4889,1333391,1,0,0,0,3,4,0,0,0,14,14,0,1,4889,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,11263,-2253,0,0,208,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,5,0,0,11200,1333391
2026-09-24T19:23:41.446Z,21124109000000,0x051C,0x0104,2,2,63,12390,12390,0,-44017,-44014,4894,1333893,1,0,0,0,3,4,0,0,0,14,14,0,1,4894,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,12390,15769,0,0,209,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,12300,1333893
2026-09-24T19:23:41.921Z,21124593000000,0x051C,0x0104,2,2,63,9011,9011,0,-43990,-44011,4899,1334393,1,0,0,0,3,4,0,0,0,14,14,0,1,4899,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,9011,-14642,0,0,210,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,5,0,0,9000,1334393
2026-09-24T19:23:42.437Z,21125109000000,0x051C,0x0104,2,2,63,6758,6758,0,-44006,-44009,4904,1334894,1,0,0,0,3,4,0,0,0,14,14,0,1,4904,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,6758,3379,0,0,213,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,6700,1334894
2026-09-24T19:23:42.912Z,21125578000000,0x051C,0x0104,2,2,63,10137,10137,0,-44028,-44012,4909,1335394,1,0,0,0,3,4,0,0,0,14,14,0,1,4909,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,10137,28158,0,0,213,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,10100,1335394
2026-09-24T19:23:43.445Z,21126109000000,0x051C,0x0104,2,2,63,15769,15769,0,-44027,-44017,4914,1335895,1,0,0,0,3,4,0,0,0,14,14,0,1,4914,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,15769,27032,0,0,213,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,15700,1335895
2026-09-24T19:23:43.920Z,21126593000000,0x051C,0x0104,2,2,63,14642,14642,0,-43991,-44016,4919,1336396,1,0,0,0,3,4,0,0,0,14,14,0,1,4919,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,14642,-13516,0,0,214,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,5,0,0,14600,1336396
2026-09-24T19:23:44.435Z,21127109000000,0x051C,0x0104,2,2,63,3379,3379,0,-44001,-44006,4924,1336897,1,0,0,0,3,4,0,0,0,14,14,0,1,4924,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,3379,-2253,0,0,214,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,5,0,0,3300,1336897
2026-09-24T19:23:44.910Z,21127578000000,0x051C,0x0104,1,2,63,3379,3379,0,-44011,-44006,4929,1337398,1,0,0,0,3,4,0,0,0,14,14,0,1,4929,2,1,20000,20000,0,0,0,0,5,0,0,0,0,5,0x5AA5,3379,9011,0,0,215,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,3300,1337398
2026-09-24T19:23:45.444Z,21128109000000,0x051C,0x0104,1,2,63,6758,6758,0,-44020,-44009,4934,1337898,1,0,0,0,3,4,0,0,0,14,14,0,1,4934,2,1,10000,10000,0,0,0,0,5,0,0,0,0,5,0x5AA5,6758,19148,0,0,215,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,5,0,0,6700,1337898
