utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-24T19:05:28.699Z,20031359000000,0x051C,0x0104,1,2,63,14642,14642,0,-44013,-44016,2401,241283,1,0,0,0,3,4,0,0,0,9,9,0,1,2401,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,14642,11263,0,0,294,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,14600,241283
2026-09-24T19:05:29.174Z,20031843000000,0x051C,0x0104,1,2,63,14642,14642,0,-44008,-44016,2406,241783,1,0,0,0,3,4,0,0,0,9,9,0,1,2406,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,14642,5632,0,0,294,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,14600,241783
2026-09-24T19:05:29.691Z,20032359000000,0x051C,0x0104,1,2,63,14642,14642,0,-44011,-44016,2411,242284,1,0,0,0,3,4,0,0,0,9,9,0,1,2411,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,14642,9011,0,0,294,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,14600,242284
2026-09-24T19:05:30.165Z,20032828000000,0x051C,0x0104,1,2,63,15769,15769,0,-44007,-44017,2416,242785,1,0,0,0,3,4,0,0,0,9,9,0,1,2416,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,15769,4505,0,0,294,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,15700,242785
2026-09-24T19:05:30.701Z,20033375000000,0x051C,0x0104,1,2,63,13516,13516,0,-43993,-44015,2421,243285,1,0,0,0,3,4,0,0,0,9,9,0,1,2421,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,13516,-11263,0,0,295,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,13500,243285
2026-09-24T19:05:31.160Z,20033828000000,0x051C,0x0104,1,2,63,10137,10137,0,-44010,-44012,2426,243786,1,0,0,0,3,4,0,0,0,9,9,0,1,2426,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,10137,7884,0,0,296,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,10100,243786
2026-09-24T19:05:31.690Z,20034359000000,0x051C,0x0104,1,2,63,15769,15769,0,-44014,-44017,2431,244287,1,0,0,0,3,4,0,0,0,9,9,0,1,2431,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,15769,12390,0,0,296,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,15700,244287
2026-09-24T19:05:32.165Z,20034828000000,0x051C,0x0104,1,2,63,19148,19148,0,-44015,-44020,2436,244787,1,0,0,0,3,4,0,0,0,9,9,0,1,2436,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,19148,13516,0,0,296,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,19100,244787
2026-09-24T19:05:32.697Z,20035359000000,0x051C,0x0104,1,2,63,15769,15769,0,-44012,-44017,2441,245288,1,0,0,0,3,4,0,0,0,9,9,0,1,2441,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,15769,10137,0,0,298,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,15700,245288
2026-09-24T19:05:33.172Z,20035843000000,0x051C,0x0104,1,2,63,13516,13516,0,-44014,-44015,2446,245789,1,0,0,0,3,4,0,0,0,9,9,0,1,2446,2,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0x5AA5,13516,12390,0,0,298,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,13500,245789
