utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-25T07:01:07.949Z,62966593000000,0x051C,0x0104,1,2,63,11263,11263,0,-44001,-44013,417343,43179593,1,0,0,0,3,4,0,0,0,15,15,0,1,417343,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,11263,-2253,0,0,32971,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,6,0,0,11200,43179593
2026-09-25T07:01:08.426Z,62967078000000,0x051C,0x0104,1,2,63,11263,11263,0,-44038,-44013,417348,43180094,1,0,0,0,3,4,0,0,0,15,15,0,1,417348,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,11263,39422,0,0,32974,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,11200,43180094
2026-09-25T07:01:08.945Z,62967593000000,0x051C,0x0104,1,2,63,15769,15769,0,-44034,-44017,417353,43180595,1,0,0,0,3,4,0,0,0,15,15,0,1,417353,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,15769,34916,0,0,32974,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,15700,43180595
2026-09-25T07:01:09.420Z,62968062000000,0x051C,0x0104,1,2,63,20274,20274,0,-44015,-44021,417358,43181096,1,0,0,0,3,4,0,0,0,15,15,0,1,417358,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,20274,13516,0,0,32974,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,20200,43181096
2026-09-25T07:01:09.953Z,62968593000000,0x051C,0x0104,1,2,63,19148,19148,0,-44029,-44020,417363,43181597,1,0,0,0,3,4,0,0,0,15,15,0,1,417363,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,19148,29285,0,0,32974,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,19100,43181597
2026-09-25T07:01:10.430Z,62969078000000,0x051C,0x0104,1,2,63,11263,11263,0,-44007,-44013,417368,43182098,1,0,0,0,3,4,0,0,0,15,15,0,1,417368,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,11263,4505,0,0,32976,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,11200,43182098
2026-09-25T07:01:10.946Z,62969593000000,0x051C,0x0104,1,2,63,13516,13516,0,-44021,-44015,417373,43182598,1,0,0,0,3,4,0,0,0,15,15,0,1,417373,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,13516,20274,0,0,32978,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,13500,43182598
2026-09-25T07:01:11.422Z,62970062000000,0x051C,0x0104,1,2,63,12390,12390,0,-44005,-44014,417378,43183099,1,0,0,0,3,4,0,0,0,15,15,0,1,417378,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,12390,2253,0,0,32978,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,12300,43183099
2026-09-25T07:01:11.956Z,62970609000000,0x051C,0x0104,1,2,63,9011,9011,0,-44000,-44011,417383,43183600,1,0,0,0,3,4,0,0,0,15,15,0,1,417383,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,9011,-3379,0,0,32979,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,6,0,0,9000,43183600
2026-09-25T07:01:12.415Z,62971062000000,0x051C,0x0104,1,2,63,7884,7884,0,-43995,-44010,417388,43184101,1,0,0,0,3,4,0,0,0,15,15,0,1,417388,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,7884,-9011,0,0,32981,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,6,0,0,7800,43184101
2026-09-25T07:01:12.949Z,62971593000000,0x051C,0x0104,1,2,63,4505,4505,0,-44013,-44007,417393,43184602,1,0,0,0,3,4,0,0,0,15,15,0,1,417393,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,4505,11263,0,0,32984,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,4500,43184602
2026-09-25T07:01:13.427Z,62972078000000,0x051C,0x0104,1,2,63,6758,6758,0,-44001,-44009,417398,43185103,1,0,0,0,3,4,0,0,0,15,15,0,1,417398,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,6758,-2253,0,0,32987,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,6,0,0,6700,43185103
2026-09-25T07:01:13.946Z,62972593000000,0x051C,0x0104,1,2,63,6758,6758,0,-44003,-44009,417403,43185603,1,0,0,0,3,4,0,0,0,15,15,0,1,417403,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,6758,0,0,0,32988,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,6700,43185603
2026-09-25T07:01:14.422Z,62973062000000,0x051C,0x0104,1,2,63,7884,7884,0,-44025,-44010,417408,43186104,1,0,0,0,3,4,0,0,0,15,15,0,1,417408,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,7884,24779,0,0,32988,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,7800,43186104
2026-09-25T07:01:14.956Z,62973593000000,0x051C,0x0104,1,2,63,6758,6758,0,-43986,-44009,417413,43186605,1,0,0,0,3,4,0,0,0,15,15,0,1,417413,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,6758,-19148,0,0,32991,2,4,2,2,255,0,2,15,0,0,1,0,0,0,0,0,0,0,6,0,0,6700,43186605
2026-09-25T07:01:15.433Z,62974078000000,0x051C,0x0104,1,2,63,-1126,-1126,0,-44012,-44002,417418,43187106,1,0,0,0,3,4,0,0,0,15,15,0,1,417418,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,-1126,10137,0,0,32992,2,2,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,-1100,43187106
2026-09-25T07:01:15.966Z,62974609000000,0x051C,0x0104,1,2,63,5632,5632,0,-44013,-44008,417423,43187607,1,0,0,0,3,4,0,0,0,15,15,0,1,417423,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,5632,11263,0,0,32992,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,5600,43187607
2026-09-25T07:01:16.440Z,62975078000000,0x051C,0x0104,1,2,63,6758,6758,0,-44022,-44009,417428,43188108,1,0,0,0,3,4,0,0,0,15,15,0,1,417428,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,6758,21400,0,0,32992,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,6700,43188108
2026-09-25T07:01:16.975Z,62975625000000,0x051C,0x0104,1,2,63,10137,10137,0,-44018,-44012,417433,43188609,1,0,0,0,3,4,0,0,0,15,15,0,1,417433,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,10137,16895,0,0,32992,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,10100,43188609
2026-09-25T07:01:17.435Z,62976078000000,0x051C,0x0104,1,2,63,7884,7884,0,-44006,-44010,417438,43189110,1,0,0,0,3,4,0,0,0,15,15,0,1,417438,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,7884,3379,0,0,32994,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,7800,43189110
