second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
0,STATIC,499986484,499986484,0,2,0
1,STATIC,499984231,499984231,0,2,0
2,STATIC,499988174,499988174,0,2,0
3,STATIC,499998310,499998310,0,2,0
4,STATIC,499997747,499997747,0,2,0
5,STATIC,499990426,499990426,0,2,0
6,STATIC,499992678,499992678,0,2,0
7,STATIC,499996621,499996621,0,2,0
8,STATIC,499998874,499998874,0,2,0
9,STATIC,499991552,499991552,0,2,0
10,STATIC,499987048,499987048,0,2,0
11,STATIC,499990989,499990989,0,2,0
12,STATIC,499997184,499997184,0,2,0
13,STATIC,499998310,499998310,0,2,0
14,STATIC,500000564,500000564,0,2,0
15,STATIC,499989300,499989300,0,3,0
16,STATIC,499991552,499991552,0,3,0
17,STATIC,499981416,499981416,0,3,0
18,STATIC,499983105,499983105,0,3,0
19,STATIC,499986484,499986484,0,3,0
20,STATIC,499989300,499989300,0,3,0
21,STATIC,499990990,499990990,0,3,0
22,STATIC,499988736,499988736,0,3,0
23,STATIC,499987047,499987047,0,3,0
24,STATIC,499985920,499985920,0,3,0
25,STATIC,499990426,499990426,0,3,0
26,STATIC,499985358,499985358,0,3,0
27,STATIC,499986484,499986484,0,3,0
28,STATIC,499981416,499981416,0,3,0
29,STATIC,499987610,499987610,0,3,0
30,STATIC,499982542,499982542,0,3,0
31,STATIC,499989863,499989863,0,3,0
32,STATIC,499988737,499988737,0,3,0
33,STATIC,499990426,499990426,0,3,0
34,STATIC,499985921,499985921,0,3,0
35,STATIC,499978036,499978036,0,3,0
36,STATIC,499982542,499982542,0,3,0
37,STATIC,499987048,499987048,0,3,0
38,STATIC,499983668,499983668,0,3,0
39,STATIC,499981979,499981979,0,3,0
40,STATIC,499980852,499980852,0,3,0
41,STATIC,499976910,499976910,0,3,0
42,STATIC,499979163,499979163,0,3,0
43,STATIC,499978600,499978600,0,3,0
44,STATIC,499980289,499980289,0,3,0
45,STATIC,499982542,499982542,0,3,0
46,STATIC,499984794,499984794,0,3,0
47,STATIC,499979726,499979726,0,3,0
48,STATIC,499984794,499984794,0,3,0
49,STATIC,499982542,499982542,0,3,0
50,STATIC,499985921,499985921,0,3,0
51,STATIC,499981978,499981978,0,3,0
52,STATIC,499978600,499978600,0,3,0
53,STATIC,499984231,499984231,0,3,0
54,STATIC,499981979,499981979,0,3,0
55,STATIC,499983668,499983668,0,3,0
56,STATIC,499980289,499980289,0,3,0
57,STATIC,499979726,499979726,0,3,0
58,STATIC,499979162,499979162,0,3,0
59,STATIC,499978600,499978600,0,3,0
60,STATIC,499983105,499983105,0,3,0
61,STATIC,499972968,499972968,0,3,0
62,STATIC,499976347,499976347,0,3,0
63,STATIC,499981979,499981979,0,3,0
64,STATIC,499984231,499984231,0,3,0
65,STATIC,499984231,499984231,0,3,0
66,STATIC,499984794,499984794,0,3,0
67,STATIC,499979162,499979162,0,3,0
68,STATIC,499977473,499977473,0,3,0
69,STATIC,499980852,499980852,0,3,0
70,STATIC,499974094,499974094,0,3,0
71,STATIC,499973531,499973531,0,3,0
72,STATIC,499970716,499970716,0,3,0
73,STATIC,499967336,499967336,0,3,0
74,STATIC,499971842,499971842,0,3,0
75,STATIC,499972405,499972405,0,3,0
76,STATIC,499974094,499974094,0,3,0
77,STATIC,499971278,499971278,0,3,0
78,STATIC,499972968,499972968,0,3,0
79,STATIC,499974658,499974658,0,3,0
80,STATIC,499976910,499976910,0,3,0
81,STATIC,499982542,499982542,0,3,0
82,STATIC,499976910,499976910,0,3,0
83,STATIC,499976910,499976910,0,3,0
84,STATIC,499983668,499983668,0,3,0
85,STATIC,499983668,499983668,0,3,0
86,STATIC,499978036,499978036,0,3,0
87,STATIC,499979726,499979726,0,3,0
88,STATIC,499981416,499981416,0,3,0
89,STATIC,499978036,499978036,0,3,0
90,STATIC,499973532,499973532,0,3,0
91,STATIC,499983668,499983668,0,3,0
92,STATIC,499979726,499979726,0,3,0
93,STATIC,499985920,499985920,0,3,0
94,STATIC,499985358,499985358,0,3,0
95,STATIC,499985358,499985358,0,3,0
96,STATIC,499982542,499982542,0,3,0
97,STATIC,499987047,499987047,0,3,0
98,STATIC,499985921,499985921,0,3,0
99,STATIC,499983105,499983105,0,3,0
100,STATIC,499985358,499985358,0,3,0
101,STATIC,499985358,499985358,0,3,0
102,STATIC,499979163,499979163,0,3,0
103,STATIC,499974658,499974658,0,3,0
104,STATIC,499976347,499976347,0,3,0
