utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-25T08:05:05.507Z,66804156000000,0x051C,0x0104,49999,2,31,499985358,499985358,0,-487905,-487908,455656,47017458,1,0,0,0,3,4,0,0,0,15,15,0,1,455656,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499985358,499981979,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499985300,47017458
2026-09-25T08:05:05.981Z,66804625000000,0x051C,0x0104,49999,2,31,499987610,499987610,0,-487902,-487910,455661,47017958,1,0,0,0,3,4,0,0,0,15,15,0,1,455661,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499987610,499978600,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499987600,47017958
2026-09-25T08:05:06.516Z,66805156000000,0x051C,0x0104,49999,2,31,499984231,499984231,0,-487921,-487907,455666,47018459,1,0,0,0,3,4,0,0,0,15,15,0,1,455666,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499984231,500000000,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499984200,47018459
2026-09-25T08:05:06.992Z,66805640000000,0x051C,0x0104,49999,2,31,499984231,499984231,0,-487909,-487907,455671,47018960,1,0,0,0,3,4,0,0,0,15,15,0,1,455671,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499984231,499986484,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499984200,47018960
2026-09-25T08:05:07.510Z,66806156000000,0x051C,0x0104,49999,2,31,499988737,499988737,0,-487893,-487911,455676,47019461,1,0,0,0,3,4,0,0,0,15,15,0,1,455676,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499988737,499968463,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499988700,47019461
2026-09-25T08:05:07.984Z,66806625000000,0x051C,0x0104,49999,2,31,499987610,499987610,0,-487906,-487910,455681,47019961,1,0,0,0,3,4,0,0,0,15,15,0,1,455681,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499987610,499983105,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499987600,47019961
2026-09-25T08:05:08.519Z,66807156000000,0x051C,0x0104,49999,2,31,499998874,499998874,0,-487932,-487920,455686,47020462,1,0,0,0,3,4,0,0,0,15,15,0,1,455686,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499998874,500012390,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499998800,47020462
2026-09-25T08:05:08.993Z,66807640000000,0x051C,0x0104,49999,2,31,499997747,499997747,0,-487928,-487919,455691,47020963,1,0,0,0,3,4,0,0,0,15,15,0,1,455691,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499997747,500007884,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499997700,47020963
2026-09-25T08:05:09.527Z,66808171000000,0x051C,0x0104,49999,2,31,499997747,499997747,0,-487900,-487919,455696,47021464,1,0,0,0,3,4,0,0,0,15,15,0,1,455696,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499997747,499976347,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499997700,47021464
2026-09-25T08:05:10.002Z,66808640000000,0x051C,0x0104,49999,2,31,499997747,499997747,0,-487899,-487919,455701,47021965,1,0,0,0,3,4,0,0,0,15,15,0,1,455701,2,1,499990000,499990000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499997747,499975221,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499997700,47021965
