utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-25T07:02:11.985Z,63030625000000,0x051C,0x0104,1,2,63,15769,15769,0,-44011,-44017,417983,43243701,1,0,0,0,3,4,0,0,0,15,15,0,1,417983,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,15769,9011,0,0,33042,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,15700,43243701
2026-09-25T07:02:12.460Z,63031109000000,0x051C,0x0104,1,2,63,18021,18021,0,-44038,-44019,417988,43244202,1,0,0,0,3,4,0,0,0,15,15,0,1,417988,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,18021,39422,0,0,33042,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,18000,43244202
2026-09-25T07:02:12.983Z,63031625000000,0x051C,0x0104,1,2,63,21400,21400,0,-44012,-44022,417992,43244705,1,0,0,0,3,4,0,0,0,15,15,0,1,417993,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,22527,1126,0,0,33042,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,22500,43244603
2026-09-25T07:02:13.461Z,63032109000000,0x051C,0x0104,1,2,63,20274,20274,0,-44025,-44021,417998,43245204,1,0,0,0,3,4,0,0,0,15,15,0,1,417998,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,20274,24779,0,0,33042,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,20200,43245204
2026-09-25T07:02:13.982Z,63032625000000,0x051C,0x0104,1,2,63,20274,20274,0,-44024,-44021,418002,43245706,1,0,0,0,3,4,0,0,0,15,15,0,1,418003,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,20274,23653,0,0,33042,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,20200,43245605
2026-09-25T07:02:14.460Z,63033109000000,0x051C,0x0104,1,2,63,19148,19148,0,-44036,-44020,418007,43246210,1,0,0,0,3,4,0,0,0,15,15,0,1,418008,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,19148,16895,0,0,33042,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,19100,43246106
2026-09-25T07:02:14.976Z,63033625000000,0x051C,0x0104,1,2,63,15769,15769,0,-44005,-44017,418012,43246707,1,0,0,0,3,4,0,0,0,15,15,0,1,418013,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,16895,7884,0,0,33044,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,16800,43246606
2026-09-25T07:02:15.449Z,63034093000000,0x051C,0x0104,1,2,63,15769,15769,0,-44026,-44017,418017,43247207,1,0,0,0,3,4,0,0,0,15,15,0,1,418018,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,14642,34916,0,0,33044,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,14600,43247107
2026-09-25T07:02:15.982Z,63034625000000,0x051C,0x0104,1,2,63,20274,20274,0,-44024,-44021,418022,43247708,1,0,0,0,3,4,0,0,0,15,15,0,1,418023,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,19148,14642,0,0,33044,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,19100,43247608
2026-09-25T07:02:16.460Z,63035109000000,0x051C,0x0104,1,2,63,14642,14642,0,-44033,-44016,418027,43248210,1,0,0,0,3,4,0,0,0,15,15,0,1,418028,2,1,10000,10000,0,0,0,0,5,0,0,0,0,6,0x5AA5,13516,24779,0,0,33044,2,4,2,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,13500,43248109
