utc,host_monotonic_ns,firmware,map,display_count,display_decimals,status_flags,net_ug,gross_ug,tare_ug,raw_adc,filtered_raw,sample_sequence,mcu_uptime_ms,official_stable,official_overload,profile,sample_rate,gain,cs1237_state,buffered_samples,overrun_count,dirty,revision,saved_revision,fault_mask,calibration_valid,primary_sample_sequence,display_condition_state,display_locked,conditioned_display_ug,display_anchor_ug,application,mode,state,limited,reason,offset_ug,reference_ug,evaluation_count,automatic_rebase_count,save_request_count_low,signature,static_input_ug,dynamic_input_ug,low_limit_ug,high_limit_ug,event_count,static_immediate,static_class,dynamic_immediate,dynamic_confirmed,static_stable_count,static_reason,dynamic_candidate,dynamic_confirm_count,dynamic_reason,process_active,valid,formal_state,formal_alarm_active,formal_green,formal_yellow,formal_red,formal_internal_buzzer,formal_external_buzzer,save_count,fault,overrun,r5_input_ug,timestamp_ms
2026-09-25T07:38:11.078Z,65189718000000,0x051C,0x0104,49997,2,31,499981979,499981979,0,-487896,-487905,439538,45402946,1,0,0,0,3,4,0,0,0,15,15,0,1,439538,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499981979,499971842,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499981900,45402946
2026-09-25T07:38:11.555Z,65190203000000,0x051C,0x0104,49997,2,31,499981979,499981979,0,-487921,-487905,439543,45403447,1,0,0,0,3,4,0,0,0,15,15,0,1,439543,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499981979,500000000,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499981900,45403447
2026-09-25T07:38:12.089Z,65190734000000,0x051C,0x0104,49997,2,31,499985358,499985358,0,-487902,-487908,439548,45403948,1,0,0,0,3,4,0,0,0,15,15,0,1,439548,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499985358,499978600,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499985300,45403948
2026-09-25T07:38:12.564Z,65191203000000,0x051C,0x0104,49997,2,31,499984231,499984231,0,-487895,-487907,439553,45404449,1,0,0,0,3,4,0,0,0,15,15,0,1,439553,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499984231,499970715,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499984200,45404449
2026-09-25T07:38:13.098Z,65191750000000,0x051C,0x0104,49997,2,31,499980852,499980852,0,-487899,-487904,439558,45404950,1,0,0,0,3,4,0,0,0,15,15,0,1,439558,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499980852,499975221,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499980800,45404950
2026-09-25T07:38:13.561Z,65192203000000,0x051C,0x0104,49997,2,31,499972968,499972968,0,-487893,-487897,439563,45405451,1,0,0,0,3,4,0,0,0,15,15,0,1,439563,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499972968,499968463,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499972900,45405451
2026-09-25T07:38:14.093Z,65192734000000,0x051C,0x0104,49997,2,31,499974094,499974094,0,-487896,-487898,439568,45405951,1,0,0,0,3,4,0,0,0,15,15,0,1,439568,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499974094,499971842,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499974000,45405951
2026-09-25T07:38:14.570Z,65193218000000,0x051C,0x0104,49997,2,31,499979726,499979726,0,-487894,-487903,439573,45406453,1,0,0,0,3,4,0,0,0,15,15,0,1,439573,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499979726,499969589,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499979700,45406453
2026-09-25T07:38:15.090Z,65193734000000,0x051C,0x0104,49997,2,31,499977473,499977473,0,-487903,-487901,439578,45406953,1,0,0,0,3,4,0,0,0,15,15,0,1,439578,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499977473,499979726,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499977400,45406953
2026-09-25T07:38:15.565Z,65194203000000,0x051C,0x0104,49997,2,31,499975221,499975221,0,-487891,-487899,439583,45407454,1,0,0,0,3,4,0,0,0,15,15,0,1,439583,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499975221,499966210,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499975200,45407454
2026-09-25T07:38:16.099Z,65194750000000,0x051C,0x0104,49997,2,31,499980852,499980852,0,-487902,-487904,439588,45407955,1,0,0,0,3,4,0,0,0,15,15,0,1,439588,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499980852,499978600,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499980800,45407955
2026-09-25T07:38:16.573Z,65195218000000,0x051C,0x0104,49997,2,31,499977473,499977473,0,-487920,-487901,439593,45408456,1,0,0,0,3,4,0,0,0,15,15,0,1,439593,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499977473,499998874,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499977400,45408456
2026-09-25T07:38:17.109Z,65195750000000,0x051C,0x0104,49997,2,31,499983105,499983105,0,-487905,-487906,439598,45408957,1,0,0,0,3,4,0,0,0,15,15,0,1,439598,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499983105,499981979,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499983100,45408957
2026-09-25T07:38:17.584Z,65196234000000,0x051C,0x0104,49997,2,31,499985358,499985358,0,-487910,-487908,439603,45409458,1,0,0,0,3,4,0,0,0,15,15,0,1,439603,2,1,499970000,499970000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499985358,499987610,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499985300,45409458
2026-09-25T07:38:18.101Z,65196750000000,0x051C,0x0104,49998,2,31,499984231,499984231,0,-487887,-487907,439608,45409959,1,0,0,0,3,4,0,0,0,15,15,0,1,439608,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499984231,499961705,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499984200,45409959
2026-09-25T07:38:18.575Z,65197218000000,0x051C,0x0104,49998,2,31,499979726,499979726,0,-487908,-487903,439613,45410459,1,0,0,0,3,4,0,0,0,15,15,0,1,439613,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499979726,499985358,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499979700,45410459
2026-09-25T07:38:19.108Z,65197750000000,0x051C,0x0104,49998,2,31,499985358,499985358,0,-487911,-487908,439618,45410960,1,0,0,0,3,4,0,0,0,15,15,0,1,439618,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499985358,499988737,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499985300,45410960
2026-09-25T07:38:19.583Z,65198234000000,0x051C,0x0104,49998,2,31,499983105,499983105,0,-487896,-487906,439623,45411461,1,0,0,0,3,4,0,0,0,15,15,0,1,439623,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499983105,499971842,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499983100,45411461
2026-09-25T07:38:20.101Z,65198750000000,0x051C,0x0104,49998,2,31,499989863,499989863,0,-487901,-487912,439628,45411962,1,0,0,0,3,4,0,0,0,15,15,0,1,439628,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499989863,499977473,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499989800,45411962
2026-09-25T07:38:20.577Z,65199218000000,0x051C,0x0104,49998,2,31,499988737,499988737,0,-487895,-487911,439633,45412463,1,0,0,0,3,4,0,0,0,15,15,0,1,439633,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499988737,499970715,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499988700,45412463
2026-09-25T07:38:21.109Z,65199750000000,0x051C,0x0104,49998,2,31,499984231,499984231,0,-487890,-487907,439638,45412964,1,0,0,0,3,4,0,0,0,15,15,0,1,439638,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499984231,499965084,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499984200,45412964
2026-09-25T07:38:21.584Z,65200234000000,0x051C,0x0104,49998,2,31,499979726,499979726,0,-487910,-487903,439643,45413465,1,0,0,0,3,4,0,0,0,15,15,0,1,439643,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499979726,499987610,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499979700,45413465
2026-09-25T07:38:22.104Z,65200750000000,0x051C,0x0104,49998,2,31,499985358,499985358,0,-487913,-487908,439648,45413966,1,0,0,0,3,4,0,0,0,15,15,0,1,439648,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499985358,499990989,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499985300,45413966
2026-09-25T07:38:22.581Z,65201234000000,0x051C,0x0104,49998,2,31,499990989,499990989,0,-487906,-487913,439653,45414467,1,0,0,0,3,4,0,0,0,15,15,0,1,439653,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499990989,499983105,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499990900,45414467
2026-09-25T07:38:23.098Z,65201750000000,0x051C,0x0104,49998,2,31,499990989,499990989,0,-487930,-487913,439658,45414968,1,0,0,0,3,4,0,0,0,15,15,0,1,439658,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499990989,500010137,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499990900,45414968
2026-09-25T07:38:23.572Z,65202218000000,0x051C,0x0104,49998,2,31,499985358,499985358,0,-487912,-487908,439663,45415468,1,0,0,0,3,4,0,0,0,15,15,0,1,439663,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499985358,499989863,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499985300,45415468
2026-09-25T07:38:24.108Z,65202750000000,0x051C,0x0104,49998,2,31,499987610,499987610,0,-487907,-487910,439668,45415969,1,0,0,0,3,4,0,0,0,15,15,0,1,439668,2,1,499980000,499980000,0,0,0,0,5,0,0,0,0,6,0x5AA5,499987610,499984231,0,0,37086,4,4,4,4,255,0,4,15,0,0,1,0,0,0,0,0,0,0,6,0,0,499987600,45415969
