complete_ms,first_byte_ms,request
7.4857,7.3941,1
7.1491,7.0918,2
7.6292,7.5672,3
7.3393,7.1603,4
7.6162,7.5643,5
7.6045,7.5543,6
8.0638,7.9967,7
8.0486,7.9929,8
8.061,7.9941,9
8.1377,8.0436,10
7.2285,7.1537,11
7.7154,7.6026,12
7.1894,7.1389,13
7.1746,7.1208,14
7.2573,7.1802,15
7.6107,7.567,16
7.6107,7.5558,17
7.6588,7.5868,18
7.1795,7.138,19
7.201,7.1554,20
8.0623,7.982,21
7.6778,7.5734,22
7.6553,7.5775,23
8.082,8.0114,24
7.2368,7.1536,25
7.7137,7.6048,26
7.4221,7.3558,27
7.2194,7.1472,28
7.5048,7.4255,29
7.6349,7.5629,30
7.6645,7.5847,31
7.1939,7.1421,32
7.1366,7.0841,33
7.7167,7.6319,34
7.5554,7.5076,35
7.4916,7.4432,36
7.9174,7.8532,37
7.1999,7.1453,38
7.6011,7.5485,39
7.6086,7.5474,40
7.2483,7.1673,41
7.2078,7.1528,42
7.5983,7.5501,43
7.6278,7.5698,44
7.6355,7.5773,45
7.4323,7.3832,46
7.5974,7.5538,47
7.2185,7.1467,48
7.6007,7.5558,49
8.4588,8.4098,50
8.0862,8.0316,51
7.4509,7.392,52
7.1967,7.1378,53
7.1929,7.1159,54
7.2029,7.1437,55
7.6207,7.5606,56
7.6263,7.5694,57
7.6292,7.574,58
7.5674,7.5079,59
7.2124,7.1358,60
7.2602,7.1584,61
8.0865,8.0411,62
7.4307,7.3857,63
7.6065,7.5591,64
7.447,7.393,65
7.1975,7.1506,66
7.4902,7.423,67
7.6384,7.5717,68
7.6301,7.5741,69
7.6397,7.5481,70
7.2191,7.1478,71
7.1661,7.0999,72
7.6086,7.5547,73
7.6219,7.5642,74
8.1293,8.0639,75
7.9999,7.9397,76
8.0575,8.004,77
7.1803,7.1133,78
7.6312,7.5644,79
7.2023,7.1452,80
7.6349,7.5764,81
7.6099,7.5578,82
7.6031,7.5511,83
7.2238,7.1596,84
7.1146,7.0427,85
7.2078,7.1408,86
7.699,7.6019,87
8.2718,8.1669,88
8.0611,7.9886,89
8.0668,7.9892,90
7.6528,7.5732,91
7.235,7.1574,92
7.6198,7.5558,93
7.2633,7.1804,94
7.6952,7.5762,95
7.2301,7.158,96
7.6628,7.586,97
7.194,7.1325,98
7.2094,7.1447,99
7.2283,7.1513,100
