communication_state,crc_valid,exception,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,3,1,44.515,40.1434,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5734ffff57347567,1611,196608,0,1784915340.3266275,0103000000204412
not mapped,True,,3,2,44.5603,40.0432,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5730ffff57308564,1612,196608,0,1784915340.4411538,0103000000204412
not mapped,True,,3,3,44.0964,39.5521,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff590fffff590fd43f,1613,196608,0,1784915340.5578287,0103000000204412
not mapped,True,,3,4,44.136,39.652,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58edffff58edac21,1614,196608,0,1784915340.672399,0103000000204412
not mapped,True,,3,5,44.0296,39.4908,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5929ffff59295c22,1615,196608,0,1784915340.7868574,0103000000204412
not mapped,True,,3,6,44.1436,39.5894,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff569fffff569f1141,1617,196608,0,1784915340.9014845,0103000000204412
not mapped,True,,3,7,44.1681,40.1614,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5599ffff55991980,1618,196608,0,1784915341.0184746,0103000000204412
not mapped,True,,3,8,44.6348,40.1837,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55c9ffff55c9d9b0,1619,196608,0,1784915341.133444,0103000000204412
not mapped,True,,3,9,43.9752,39.4773,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff563fffff563f9120,1620,196608,0,1784915341.2482219,0103000000204412
not mapped,True,,3,10,43.9843,39.6602,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56eaffff56ea5d6d,1621,196608,0,1784915341.3628452,0103000000204412
not mapped,True,,3,11,43.9841,39.6543,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5900ffff5900c03a,1622,196608,0,1784915341.4761431,0103000000204412
not mapped,True,,3,12,44.1409,40.0466,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5abdffff5abd6c93,1624,196608,0,1784915341.591809,0103000000204412
not mapped,True,,3,13,44.5492,39.9969,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57a6ffff57a64d17,1625,196608,0,1784915341.7061427,0103000000204412
not mapped,True,,3,14,44.5581,40.1856,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5725ffff57254968,1626,196608,0,1784915341.8203537,0103000000204412
not mapped,True,,3,15,44.1171,39.6041,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5466ffff54664d95,1627,196608,0,1784915341.935376,0103000000204412
not mapped,True,,3,16,43.994,39.5908,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff540effff540e2db2,1628,196608,0,1784915342.051701,0103000000204412
not mapped,True,,3,17,44.1351,40.1694,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5469ffff54695990,1629,196608,0,1784915342.1660106,0103000000204412
not mapped,True,,3,18,44.1376,40.1853,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff529bffff529be206,1631,196608,0,1784915342.281273,0103000000204412
not mapped,True,,3,19,44.5124,40.131,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53b5ffff53b58a5d,1632,196608,0,1784915342.3957975,0103000000204412
not mapped,True,,3,20,44.1237,39.5837,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff547affff547a9d9e,1633,196608,0,1784915342.5113497,0103000000204412
not mapped,True,,3,21,44.1042,39.674,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff531fffff531f123a,1634,196608,0,1784915342.6255062,0103000000204412
not mapped,True,,3,22,44.1416,39.612,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5368ffff5368a617,1635,196608,0,1784915342.7385478,0103000000204412
not mapped,True,,3,23,44.0567,39.5023,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53e4ffff53e4b66d,1636,196608,0,1784915342.8530757,0103000000204412
not mapped,True,,3,24,44.5744,40.0171,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5349ffff5349da08,1638,196608,0,1784915342.9680948,0103000000204412
not mapped,True,,3,25,44.565,40.1319,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54f3ffff54f381e7,1639,196608,0,1784915343.0822115,0103000000204412
not mapped,True,,3,26,44.59,40.0192,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54c0ffff54c0c5f6,1640,196608,0,1784915343.196272,0103000000204412
not mapped,True,,3,27,44.5612,40.1757,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5478ffff5478659f,1641,196608,0,1784915343.3107939,0103000000204412
not mapped,True,,3,28,44.1392,39.6356,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54b8ffff54b865de,1642,196608,0,1784915343.4253206,0103000000204412
not mapped,True,,3,29,44.001,40.0155,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5646ffff5646cd08,1643,196608,0,1784915343.5389678,0103000000204412
not mapped,True,,3,30,44.5534,40.356,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff574bffff574b214d,1645,196608,0,1784915343.6532266,0103000000204412
not mapped,True,,3,31,44.5573,40.0144,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff567fffff567f911f,1646,196608,0,1784915343.7669723,0103000000204412
not mapped,True,,3,32,44.0751,40.1041,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55a8ffff55a8a590,1647,196608,0,1784915343.8814654,0103000000204412
not mapped,True,,3,33,44.1369,39.6149,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff571affff571a1d7d,1648,196608,0,1784915343.9944654,0103000000204412
not mapped,True,,3,34,44.4098,39.614,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58c7ffff58c73438,1649,196608,0,1784915344.1072795,0103000000204412
not mapped,True,,3,35,44.5668,39.5934,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a33ffff5a3384e8,1650,196608,0,1784915344.2219653,0103000000204412
not mapped,True,,3,36,44.1367,39.606,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b85ffff5b85ccc5,1652,196608,0,1784915344.3356736,0103000000204412
not mapped,True,,3,37,44.0867,40.1236,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b0bffff5b0b24be,1653,196608,0,1784915344.4507463,0103000000204412
