communication_state,crc_valid,exception,failure_stage,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,,3,1,44.1512,39.6132,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff570affff570add72,349,196608,0,1784918517.0518777,0103000000204412
not mapped,True,,,3,2,44.1941,39.5896,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57c0ffff57c0c535,350,196608,0,1784918517.1696649,0103000000204412
not mapped,True,,,3,3,44.0525,39.4812,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57abffff57aba113,351,196608,0,1784918517.2858827,0103000000204412
not mapped,True,,,3,4,43.9773,39.5901,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5688ffff5688254c,353,196608,0,1784918517.4004068,0103000000204412
not mapped,True,,,3,5,44.5343,40.1454,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5639ffff56399922,354,196608,0,1784918517.5139935,0103000000204412
not mapped,True,,,3,6,44.5398,40.0039,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5780ffff5780c50a,355,196608,0,1784918517.6285424,0103000000204412
not mapped,True,,,3,7,44.5448,40.1034,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56efffff56ef516e,356,196608,0,1784918517.7426245,0103000000204412
not mapped,True,,,3,8,44.5533,40.265,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff569dffff569de940,357,196608,0,1784918517.85783,0103000000204412
not mapped,True,,,3,9,43.9832,39.5938,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5937ffff59377428,358,196608,0,1784918517.9722724,0103000000204412
not mapped,True,,,3,10,44.132,39.592,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59b4ffff59b47057,360,196608,0,1784918518.0863373,0103000000204412
not mapped,True,,,3,11,44.6857,40.2069,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a78ffff5a7860d1,361,196608,0,1784918518.2008858,0103000000204412
not mapped,True,,,3,12,44.566,40.3372,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c2bffff5c2ba726,362,196608,0,1784918518.314955,0103000000204412
not mapped,True,,,3,13,44.0313,40.0948,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff594bffff594b2403,363,196608,0,1784918518.4300296,0103000000204412
not mapped,True,,,3,14,43.9859,39.6034,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff581fffff581f1471,364,196608,0,1784918518.544503,0103000000204412
not mapped,True,,,3,15,44.0937,39.6729,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58aeffff58aea81f,365,196608,0,1784918518.6600547,0103000000204412
not mapped,True,,,3,16,44.5733,40.2007,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5bb2ffff5bb278d7,367,196608,0,1784918518.7736034,0103000000204412
