communication_state,crc_valid,exception,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,3,1,44.134,39.5969,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5bcdffff5bcd2cfd,441,196608,0,1784919028.7817547,0103000000204412
not mapped,True,,3,2,44.5095,39.9903,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59bcffff59bc9050,442,196608,0,1784919028.8976905,0103000000204412
not mapped,True,,3,3,44.4342,40.0425,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff587dffff587d6c50,443,196608,0,1784919029.01282,0103000000204412
not mapped,True,,3,4,43.9941,39.5893,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a14ffff5a14f0f5,444,196608,0,1784919029.1284184,0103000000204412
not mapped,True,,3,5,44.5515,40.0176,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5aafffff5aaf549d,445,196608,0,1784919029.242233,0103000000204412
not mapped,True,,3,6,44.5127,39.9655,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5989ffff5989dc43,446,196608,0,1784919029.356171,0103000000204412
not mapped,True,,3,7,44.1256,39.5792,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5938ffff5938602d,448,196608,0,1784919029.4707713,0103000000204412
not mapped,True,,3,8,44.5485,39.5869,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59b0ffff59b08054,449,196608,0,1784919029.5851405,0103000000204412
not mapped,True,,3,9,44.1613,39.6116,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d15ffff5d150f72,450,196608,0,1784919029.698472,0103000000204412
not mapped,True,,3,10,44.0345,39.531,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d82ffff5d823b01,451,196608,0,1784919029.813888,0103000000204412
not mapped,True,,3,11,44.1438,39.6593,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e6bffff5e6ba79b,452,196608,0,1784919029.9266977,0103000000204412
not mapped,True,,3,12,44.4599,40.0739,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e4affff5e4adb84,453,196608,0,1784919030.0399902,0103000000204412
not mapped,True,,3,13,43.9703,39.4212,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5bffffff5bff94ec,455,196608,0,1784919030.155048,0103000000204412
not mapped,True,,3,14,44.1426,39.5971,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c2cffff5c2c5324,456,196608,0,1784919030.2673562,0103000000204412
not mapped,True,,3,15,44.5135,40.1302,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ca2ffff5ca2bb5f,457,196608,0,1784919030.3828824,0103000000204412
not mapped,True,,3,16,44.1534,39.6101,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff60afffff60af4367,458,196608,0,1784919030.4958441,0103000000204412
not mapped,True,,3,17,43.9848,39.4522,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e57ffff5e57f78f,459,196608,0,1784919030.609967,0103000000204412
not mapped,True,,3,18,44.1385,39.5957,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d49ffff5d49df46,460,196608,0,1784919030.7235186,0103000000204412
not mapped,True,,3,19,44.1199,39.5744,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5cadffff5cadaf5a,461,196608,0,1784919030.837585,0103000000204412
not mapped,True,,3,20,44.6112,40.0097,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d41ffff5d413f41,463,196608,0,1784919030.9521077,0103000000204412
not mapped,True,,3,21,44.5853,39.6234,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e2bffff5e2ba7a4,464,196608,0,1784919031.068164,0103000000204412
not mapped,True,,3,22,44.1439,39.5939,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff6015ffff60151b0f,465,196608,0,1784919031.183779,0103000000204412
not mapped,True,,3,23,44.0937,39.5454,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5f9dffff5f9def89,466,196608,0,1784919031.2988224,0103000000204412
not mapped,True,,3,24,44.5746,40.0182,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ff9ffff5ff99faa,467,196608,0,1784919031.4120777,0103000000204412
not mapped,True,,3,25,44.5624,40.0198,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5de4ffff5de4b323,468,196608,0,1784919031.52618,0103000000204412
not mapped,True,,3,26,44.0236,39.9121,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5de6ffff5de64b22,470,196608,0,1784919031.6414213,0103000000204412
not mapped,True,,3,27,44.3991,40.0093,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e72ffff5e727b93,471,196608,0,1784919031.755012,0103000000204412
not mapped,True,,3,28,44.3812,39.5719,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5f1bffff5f1be7f5,472,196608,0,1784919031.8690794,0103000000204412
not mapped,True,,3,29,43.9755,39.5963,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff604effff604e3f39,473,196608,0,1784919031.9831524,0103000000204412
not mapped,True,,3,30,44.1766,39.6082,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff60a2ffff60a2af63,474,196608,0,1784919032.0967126,0103000000204412
not mapped,True,,3,31,44.1472,39.6057,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff617effff617e7f68,475,196608,0,1784919032.2106886,0103000000204412
not mapped,True,,3,32,43.9929,39.5962,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff613cffff613c8756,477,196608,0,1784919032.3252351,0103000000204412
not mapped,True,,3,33,44.5699,39.6006,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff6126ffff61265f5f,478,196608,0,1784919032.439045,0103000000204412
not mapped,True,,3,34,45.1404,40.5892,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff601dffff601dfb08,479,196608,0,1784919032.5521433,0103000000204412
not mapped,True,,3,35,43.9705,39.591,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5f8dffff5f8d2f86,480,196608,0,1784919032.6682222,0103000000204412
not mapped,True,,3,36,44.0242,39.4865,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e2fffff5e2f57a7,481,196608,0,1784919032.7828422,0103000000204412
not mapped,True,,3,37,44.1549,39.5819,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d73ffff5d738750,482,196608,0,1784919032.8963897,0103000000204412
not mapped,True,,3,38,44.5674,40.0139,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c3bffff5c3b6729,484,196608,0,1784919033.0119505,0103000000204412
not mapped,True,,3,39,44.1463,40.1758,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ab7ffff5ab77495,485,196608,0,1784919033.1264772,0103000000204412
not mapped,True,,3,40,44.5709,39.5876,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b57ffff5b57f48a,486,196608,0,1784919033.240754,0103000000204412
