communication_state,crc_valid,exception,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,3,1,44.6091,40.0182,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56e1ffff56e1b96b,3141,196608,0,1784915490.6254702,0103000000204412
not mapped,True,,3,2,44.1484,39.595,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5679ffff5679991d,3142,196608,0,1784915490.7426817,0103000000204412
not mapped,True,,3,3,44.5503,40.5861,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff554affff554addcf,3143,196608,0,1784915490.8562238,0103000000204412
not mapped,True,,3,4,44.397,40.0154,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff536affff536a5e16,3144,196608,0,1784915490.9702454,0103000000204412
not mapped,True,,3,5,43.9682,39.5887,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff549fffff549f11c3,3146,196608,0,1784915491.083283,0103000000204412
not mapped,True,,3,6,44.5687,40.022,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff555cffff555c15c2,3147,196608,0,1784915491.1969516,0103000000204412
not mapped,True,,3,7,44.5193,40.1481,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55ecffff55ec55ac,3148,196608,0,1784915491.3130467,0103000000204412
not mapped,True,,3,8,44.1366,39.6023,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5700ffff5700c574,3149,196608,0,1784915491.4268641,0103000000204412
not mapped,True,,3,9,44.1475,39.596,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55b9ffff55b9999f,3150,196608,0,1784915491.542816,0103000000204412
not mapped,True,,3,10,44.408,40.0459,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5679ffff5679991d,3151,196608,0,1784915491.6570997,0103000000204412
not mapped,True,,3,11,44.5339,39.989,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55a6ffff55a64d95,3153,196608,0,1784915491.7716527,0103000000204412
not mapped,True,,3,12,44.5653,40.0616,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff555dffff555de9c2,3154,196608,0,1784915491.885535,0103000000204412
not mapped,True,,3,13,44.1417,40.1747,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55bbffff55bb619e,3155,196608,0,1784915492.0005543,0103000000204412
not mapped,True,,3,14,44.0621,39.4982,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff533fffff533f9225,3156,196608,0,1784915492.115095,0103000000204412
not mapped,True,,3,15,44.1447,39.6535,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53a1ffff53a1ba51,3157,196608,0,1784915492.2287755,0103000000204412
not mapped,True,,3,16,44.1361,39.5919,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5581ffff55813988,3158,196608,0,1784915492.3429983,0103000000204412
not mapped,True,,3,17,44.5105,39.9435,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57d5ffff57d50939,3160,196608,0,1784915492.4575238,0103000000204412
not mapped,True,,3,18,44.1321,40.1818,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff579affff579a1d03,3161,196608,0,1784915492.5725615,0103000000204412
not mapped,True,,3,19,44.4536,40.0661,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55f5ffff55f589a4,3162,196608,0,1784915492.686127,0103000000204412
not mapped,True,,3,20,43.9716,39.5923,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55b1ffff55b17998,3163,196608,0,1784915492.7981865,0103000000204412
