communication_state,crc_valid,exception,failure_stage,function,request_number,response_time_complete_ms,response_time_first_byte_ms,retry_attempts,retry_recovered,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,,3,1,43.974,40.0153,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5cd4ffff5cd4f372,16694,196608,0,1784916821.822036,0103000000204412
not mapped,True,,,3,2,44.3303,39.9227,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ceaffff5cea5b67,16695,196608,0,1784916821.9370406,0103000000204412
not mapped,True,,,3,3,44.5672,40.176,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5de4ffff5de4b323,16696,196608,0,1784916822.0518405,0103000000204412
not mapped,True,,,3,4,43.9409,39.9716,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d2dffff5d2daf65,16697,196608,0,1784916822.1659205,0103000000204412
not mapped,True,,,3,5,44.5602,39.5912,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ba6ffff5ba648db,16698,196608,0,1784916822.2802868,0103000000204412
not mapped,True,,,3,6,44.1397,39.6614,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ac0ffff5ac0c0b8,16699,196608,0,1784916822.3948078,0103000000204412
not mapped,True,,,3,7,44.1313,39.5925,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a52ffff5a52f8c8,16700,196608,0,1784916822.5078046,0103000000204412
not mapped,True,,,3,8,44.5637,40.2281,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c5affff5c5a1b09,16702,196608,0,1784916822.6235917,0103000000204412
not mapped,True,,,3,9,44.1204,40.0035,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e1affff5e1a1bb4,16703,196608,0,1784916822.7373965,0103000000204412
not mapped,True,,,3,10,44.1325,39.5901,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a60ffff5a6040d9,16704,196608,0,1784916822.851426,0103000000204412
